day,direction,protocol,state,connections
2023-01-01,inbound,tcp,RSTRH,5707611
2023-01-01,outbound,tcp,S0,87619352
2023-01-01,outbound,tcp,S1,1173111
2023-01-01,outbound,tcp,S2,122831
2023-01-01,outbound,tcp,S3,486472
2023-01-01,internal,udp,OTH,909
2023-01-01,inbound,tcp,REJ,32848
2023-01-01,outbound,udp,SF,329280
2023-01-01,outbound,udp,OTH,47584379
2023-01-01,outbound,tcp,SF,19439519
2023-01-01,outbound,tcp,SH,8296812
2023-01-01,inbound,udp,SHR,41378958
2023-01-01,outbound,tcp,RSTO,2861408
2023-01-01,outbound,tcp,RSTR,1225638
2023-01-01,internal,icmp,OTH,2773559
2023-01-01,inbound,tcp,OTH,32157792
2023-01-01,internal,udp,S0,174798
2023-01-01,internal,tcp,S0,593591
2023-01-01,internal,tcp,S1,1185
2023-01-01,inbound,udp,S0,2563941795
2023-01-01,internal,tcp,S2,178
2023-01-01,internal,tcp,S3,203
2023-01-01,inbound,tcp,S0,1723843765
2023-01-01,internal,tcp,SHR,23959
2023-01-01,inbound,tcp,S1,195267
2023-01-01,inbound,tcp,S2,75413
2023-01-01,inbound,tcp,S3,38973
2023-01-01,internal,udp,SF,636
2023-01-01,outbound,tcp,SHR,33651602
2023-01-01,internal,tcp,RSTO,978
2023-01-01,inbound,icmp,OTH,270210131
2023-01-01,internal,tcp,RSTR,8286
2023-01-01,inbound,udp,OTH,73155021
2023-01-01,internal,tcp,SF,194893
2023-01-01,inbound,udp,SF,75887
2023-01-01,internal,tcp,SH,184505
2023-01-01,internal,tcp,REJ,33
2023-01-01,inbound,tcp,SF,13690037
2023-01-01,inbound,tcp,SH,13181248
2023-01-01,outbound,tcp,REJ,2424
2023-01-01,inbound,tcp,RSTO,1725746
2023-01-01,internal,tcp,RSTRH,4965
2023-01-01,internal,udp,SHR,93420
2023-01-01,outbound,tcp,RSTOS0,58338261
2023-01-01,inbound,tcp,RSTR,1038129
2023-01-01,outbound,tcp,RSTRH,13586010
2023-01-01,outbound,udp,SHR,119919167
2023-01-01,inbound,tcp,RSTOS0,37775372
2023-01-01,internal,tcp,OTH,550828
2023-01-01,outbound,tcp,OTH,59846997
2023-01-01,outbound,udp,S0,2201046684
2023-01-01,outbound,icmp,OTH,222828908
2023-01-01,inbound,tcp,SHR,27759908
2023-01-01,internal,tcp,RSTOS0,19656
2023-01-02,inbound,tcp,RSTRH,5731274
2023-01-02,outbound,tcp,S0,113003871
2023-01-02,outbound,tcp,S1,2854572
2023-01-02,outbound,tcp,S2,1611180
2023-01-02,outbound,tcp,S3,1853062
2023-01-02,internal,udp,OTH,7725
2023-01-02,inbound,tcp,REJ,35435
2023-01-02,outbound,udp,SF,794171
2023-01-02,outbound,udp,OTH,74894847
2023-01-02,outbound,tcp,SF,29368571
2023-01-02,outbound,tcp,SH,11203407
2023-01-02,inbound,udp,SHR,29799510
2023-01-02,outbound,tcp,RSTO,5658741
2023-01-02,outbound,tcp,RSTR,2639809
2023-01-02,internal,icmp,OTH,2633887
2023-01-02,inbound,tcp,OTH,36355334
2023-01-02,internal,udp,S0,1571811
2023-01-02,internal,tcp,S0,639878
2023-01-02,internal,tcp,S1,2749
2023-01-02,inbound,udp,S0,2634967064
2023-01-02,internal,tcp,S2,2502
2023-01-02,internal,tcp,S3,2121
2023-01-02,inbound,tcp,S0,1485701434
2023-01-02,inbound,tcp,S1,472976
2023-01-02,internal,tcp,SHR,45510
2023-01-02,inbound,tcp,S2,462723
2023-01-02,inbound,tcp,S3,326191
2023-01-02,internal,udp,SF,121
2023-01-02,outbound,tcp,SHR,41555767
2023-01-02,internal,tcp,RSTO,3722
2023-01-02,inbound,icmp,OTH,236663287
2023-01-02,internal,tcp,RSTR,14727
2023-01-02,inbound,udp,OTH,99246133
2023-01-02,internal,tcp,SF,225284
2023-01-02,inbound,udp,SF,176020
2023-01-02,internal,tcp,SH,190125
2023-01-02,internal,tcp,REJ,14
2023-01-02,inbound,tcp,SF,19649434
2023-01-02,inbound,tcp,SH,12830479
2023-01-02,outbound,tcp,REJ,9655
2023-01-02,inbound,tcp,RSTO,2380044
2023-01-02,internal,tcp,RSTRH,9273
2023-01-02,internal,udp,SHR,123637
2023-01-02,outbound,tcp,RSTOS0,64273965
2023-01-02,inbound,tcp,RSTR,1144867
2023-01-02,outbound,tcp,RSTRH,19622082
2023-01-02,outbound,udp,SHR,109915104
2023-01-02,inbound,tcp,RSTOS0,41460721
2023-01-02,internal,tcp,OTH,597495
2023-01-02,outbound,tcp,OTH,77521288
2023-01-02,outbound,udp,S0,2390142026
2023-01-02,outbound,icmp,OTH,191579823
2023-01-02,inbound,tcp,SHR,30567631
2023-01-02,internal,tcp,RSTOS0,32795
2023-01-03,inbound,tcp,RSTRH,4200880
2023-01-03,outbound,tcp,S0,117926782
2023-01-03,outbound,tcp,S1,3482142
2023-01-03,outbound,tcp,S2,1831787
2023-01-03,outbound,tcp,S3,2144118
2023-01-03,internal,udp,OTH,1393
2023-01-03,inbound,tcp,REJ,25222
2023-01-03,outbound,udp,SF,933290
2023-01-03,outbound,udp,OTH,50119521
2023-01-03,outbound,tcp,SF,30922469
2023-01-03,outbound,tcp,SH,12805576
2023-01-03,inbound,udp,SHR,25090521
2023-01-03,outbound,tcp,RSTO,6173529
2023-01-03,outbound,tcp,RSTR,3012018
2023-01-03,internal,icmp,OTH,2147984
2023-01-03,inbound,tcp,OTH,27676748
2023-01-03,internal,udp,S0,243364
