day,OTH,REJ,RSTO,RSTOS0,RSTR,RSTRH,S0,S1,S2,S3,SF,SH,SHR,SUM,OTH,REJ,RSTO,RSTOS0,RSTR,RSTRH,S0,S1,S2,S3,SF,SH,SHR,REJ-RST,S(1-3),SH(R)
2023-01-01,92759802,35443,4622806,96848344,2293546,19741832,1820771604,1402083,200072,547986,33487499,21752026,61872148,2156335191,4.301733904,0.001643668394,0.2143825329,4.491339955,0.1063631484,0.9155270517,84.43824558,0.0650215702,0.009278334873,0.02541283945,1.552982075,1.008749757,2.869319587,1.237916401,0.09971274452,3.878069344
2023-01-02,115020649,45524,8135372,106704441,3840298,25983930,1607744907,3418090,2103986,2225031,49611438,24430886,72974756,2022239308,5.687786235,0.002251167793,0.4022952164,5.276548655,0.1899032417,1.284908759,79.5031973,0.1690250005,0.1040423847,0.1100280759,2.45329214,1.208110529,3.608611291,1.879358385,0.383095461,4.81672182
2023-01-03,82733827,44210,8134850,99936353,3789671,27593220,1144147715,3991557,2240237,2439204,46428776,24416267,73794454,1519690341,5.444124028,0.002909145291,0.5352965522,6.576099769,0.2493712632,1.815713324,75.28821393,0.2626559433,0.1474140448,0.1605066463,3.055147141,1.606660669,4.855887546,2.603290284,0.5705766343,6.462548215
2023-01-04,82215186,22324,7003043,86014780,3320461,23699535,983906058,3401815,1900135,2161417,39015561,21332204,59184615,1313177134,6.26078416,0.001699999141,0.5332900504,6.550127761,0.2528570529,1.804747767,74.92561609,0.2590522567,0.1446975393,0.1645944743,2.971081356,1.624472697,4.506978797,2.592594869,0.5683442703,6.131451494
2023-01-05,98003409,27785,8164093,91253989,3950563,26183442,948702773,4360511,3088998,3574759,44677751,22423426,58148304,1312559803,7.466586191,0.002116855928,0.6219977925,6.952368097,0.3009815622,1.994838021,72.27882271,0.3322142724,0.2353415054,0.2723501811,3.40386403,1.708373664,4.430145115,2.919934232,0.8399059589,6.13851878
2023-01-06,69315810,74813,7464968,89548241,3683414,23914896,954947719,4212488,2680349,2988867,42039980,20598863,59374136,1280844544,5.411726999,0.005840911791,0.5828160829,6.99134344,0.2875769755,1.867119325,74.55609843,0.3288836276,0.2092641931,0.2333512692,3.282207837,1.608225065,4.635545842,2.743353295,0.7714990899,6.243770907
2023-01-07,76491228,24067,5741806,89170624,2898629,22710535,1158893888,2388723,1008975,1364061,34960363,20145348,57195153,1472993400,5.192910437,0.001633883763,0.3898052768,6.053701531,0.1967849279,1.541794756,78.67610866,0.1621679364,0.06849827026,0.09260469192,2.373422922,1.367646861,3.882919842,2.130018845,0.3232708986,5.250566703
2023-01-08,69714343,15662,5960018,86673318,2632469,20518630,1078928728,2530811,1271281,1667768,33728601,19170017,51586879,1374398525,5.072352868,0.001139553027,0.4336455469,6.306272629,0.1915360758,1.492917056,78.50188343,0.1841395311,0.09249726167,0.121345299,2.45406266,1.394793188,3.753414898,2.119238232,0.3979820918,5.148208086
2023-01-09,68781457,54294,9645105,96526865,3623942,27895361,887802848,7812213,3755441,3589798,43157296,25266228,59358440,1237269288,5.559133947,0.004388212051,0.7795477584,7.801605191,0.2928984042,2.254590918,71.75502185,0.6314076552,0.3035265675,0.2901387786,3.488108564,2.04209611,4.79753604,3.331425293,1.225073001,6.83963215
2023-01-10,63274122,88664,8862088,87659829,3536967,25706975,690826766,7185294,3406571,3421282,39218541,22547972,53510576,1009245647,6.269447105,0.00878517537,0.8780902872,8.685678186,0.3504565029,2.547147474,68.44981378,0.7119469895,0.337536358,0.3389939813,3.885926198,2.23414112,5.302036839,3.784479439,1.388477329,7.536177959
2023-01-11,70927976,137732,9708872,92857960,3914461,26330133,703335063,9000091,4409202,4146242,42459741,24241033,54723035,1046191541,6.779635776,0.01316508446,0.9280205029,8.875808718,0.3741629373,2.516760265,67.22813514,0.860271819,0.4214526525,0.3963176758,4.058505478,2.317074078,5.230689874,3.83210879,1.678042147,7.547763952
2023-01-12,58352556,81438,8722585,85376120,3328779,24683725,896008674,6670972,3342529,3181599,38304834,22378092,55293441,1205725344,4.83962258,0.006754274546,0.7234305096,7.080892877,0.2760810343,2.047209601,74.31283405,0.5532745939,0.2772214266,0.2638742742,3.176912071,1.855985869,4.585906838,3.053475419,1.094370295,6.441892707
2023-01-13,68031046,91646,9377030,95020559,3898938,28823917,1224170889,7392577,3546754,3438957,42304078,23742246,62899973,1572738610,4.325642263,0.005827160306,0.5962230431,6.041726095,0.2479075655,1.832721395,77.83689427,0.4700448602,0.2255145246,0.2186604295,2.68983528,1.509611696,3.999391418,2.682679164,0.9142198143,5.509003114
2023-01-14,60696932,94002,5157294,66314524,2149911,19222197,925245280,2827330,1004369,1315134,27854682,17333580,46284798,1175500033,5.163498962,0.007996767109,0.4387319315,5.641388527,0.1828933169,1.635235769,78.71078299,0.2405214735,0.08544185213,0.1118786868,2.369602826,1.47457078,3.937456121,2.264857784,0.4378420124,5.4120269
2023-01-15,57925841,18213,5353143,71766760,2286040,18190646,885630807,2972025,1302260,1681050,30422780,16991426,48291264,1142832255,5.068621466,0.001593672205,0.468410213,6.279728253,0.2000328561,1.591716188,77.4943832,0.2600578507,0.1139502315,0.1470950783,2.662051221,1.486782152,4.22557762,2.261752929,0.5211031605,5.712359772
2023-01-16,61233513,49111,8877569,85855853,3376016,25150311,727792784,7219210,3528576,3251437,38904071,22828681,55202978,1043270110,5.869382475,0.004707409858,0.8509367723,8.229494182,0.3235994176,2.410719023,69.76072419,0.6919789929,0.338222668,0.3116582148,3.729050667,2.18818509,5.291340897,3.589962622,1.341859876,7.479525988
2023-01-17,56632275,150008,8751494,79628214,3661523,25455860,990267968,7775491,3580690,3278012,38086093,21407846,51390888,1290066362,4.389873007,0.01162792895,0.6783754896,6.172412238,0.2838243914,1.973220971,76.76100991,0.6027202343,0.2775585897,0.2540963858,2.952258436,1.659437579,3.983584838,2.947048781,1.13437521,5.643022417
2023-01-18,66385114,61168,8762501,83527892,3405005,25647073,985547881,7653354,3403996,3191612,38459914,22616223,54240244,1302901977,5.095173326,0.004694750724,0.6725372403,6.410911448,0.2613400747,1.968457601,75.64251942,0.5874082728,0.2612626322,0.2449617896,2.951865503,1.735834575,4.163033364,2.907029667,1.093632695,5.898867939
2023-01-19,65029873,118156,9419506,87123928,3694754,26121652,885315179,8902461,3930000,3545674,41247213,24030999,57035068,1215514463,5.349987596,0.00972065768,0.7749398536,7.167658687,0.3039662721,2.149020254,72.83460674,0.7324027209,0.323319888,0.2917015065,3.393395493,1.977022876,4.692257454,3.237647037,1.347424115,6.669280331
2023-01-20,57279741,52265,7860561,82679963,2965463,23862366,833040920,6938064,2854401,2849366,36799114,20662882,52070283,1129915389,5.069383208,0.004625567588,0.6956769575,7.317358787,0.2624500054,2.111871936,73.72595578,0.6140339416,0.2526207739,0.2521751653,3.256802621,1.828710557,4.608334704,3.074624466,1.118829881,6.437045261
2023-01-21,56276469,22033,5608870,74452806,2260736,18623210,968318737,2887389,1083470,1421823,28366118,16645110,46580766,1222547537,4.603213151,0.001802220309,0.4587854321,6.089972271,0.1849200895,1.523311727,79.20499675,0.2361780555,0.08862395671,0.1163000175,2.320246628,1.361510248,3.81013945,2.168819469,0.4411020297,5.171649698
2023-01-22,65303265,92111,5301408,75099833,2162655,17470115,907183488,3133747,1090695,1441561,28483872,16682617,46924355,1170369722,5.579712442,0.007870248031,0.452968656,6.416761438,0.1847839157,1.492700526,77.51255616,0.2677570123,0.09319234593,0.1231714195,2.433749905,1.425414268,4.009361667,2.138323346,0.4841207777,5.434775935
2023-01-23,89421155,166507,10587894,96487747,3927062,28052741,956225970,10374967,4544569,4094117,46528694,26415833,59193208,1336020464,6.693097704,0.0124629079,0.792494897,7.222026129,0.2939372641,2.099723901,71.57270384,0.7765574914,0.34015714,0.3064411894,3.482633332,1.977202723,4.430561477,3.19861897,1.423155821,6.4077642
2023-01-24,112118557,163966,9594074,95054575,3737951,28672681,824579568,9374931,3989577,3741716,44125506,26181802,59537695,1220872599,9.183477219,0.01343023016,0.7858374418,7.785789859,0.3061704393,2.348539972,67.5401814,0.7678877393,0.3267807799,0.3064788253,3.614259673,2.14451549,4.876650934,3.453978084,1.401147344,7.021166424
2023-01-25,103263768,168285,8611965,77975171,3192180,23419085,658471073,10028708,3872182,3667004,39337963,23844700,51509422,1007361506,10.25091463,0.0167055222,0.8549031255,7.740535104,0.3168852474,2.324794511,65.36591572,0.9955421108,0.3843885216,0.3640206597,3.905049256,2.367044984,5.113300607,3.513288406,1.743951292,7.480345591
2023-01-26,70997167,72908,8152004,84330386,3062156,23759153,683234564,8429869,3260616,3037718,36988528,21970138,52593550,999888757,7.100506582,0.007291611141,0.8152910954,8.433976821,0.3062496681,2.376179633,68.33105775,0.8430806868,0.3260978761,0.3038055962,3.699264317,2.19725823,5.259940132,3.505012008,1.472984159,7.457198361
2023-01-27,81183122,191136,8644843,89990441,3426282,25101243,777910287,7675557,2920646,2986045,39466772,22145571,60502487,1122144432,7.234641075,0.01703310149,0.7703859462,8.019506084,0.3053334225,2.236899483,69.32354382,0.6840079388,0.2602736258,0.2661016635,3.517084867,1.973504512,5.391684464,3.329651953,1.210383228,7.365188976
2023-01-28,52428855,13026,5267158,70802961,2092487,17345983,706890808,2685091,1080809,1391475,28142898,16768142,44178010,949087703,5.524131736,0.001372475901,0.5549706295,7.460107298,0.220473513,1.827648061,74.48108386,0.2829128427,0.1138787276,0.1466118458,2.96525789,1.766764225,4.654786893,2.604464679,0.5434034161,6.421551118
2023-01-29,62819946,14915,5157235,74105474,1924776,17338712,720476967,2735153,995123,1330388,28822910,18525452,44768345,979015396,6.416645362,0.001523469402,0.5267777219,7.56938801,0.1966032412,1.771035682,73.59199558,0.2793779353,0.1016452861,0.1358904064,2.944071168,1.892253388,4.572792745,2.495940115,0.5169136278,6.465046133
2023-01-30,62994170,87996,7990116,84056275,2957373,24565406,638795959,7301799,2930865,2797665,36617459,21963378,56153399,949211860,6.636471019,0.009270427784,0.8417631866,8.855375553,0.3115608985,2.587979253,67.29751133,0.7692486059,0.3087682659,0.2947355715,3.857669772,2.313854148,5.915791971,3.750573765,1.372752443,8.229646119
2023-01-31,74675533,138566,9197217,90549582,3462478,24967103,705834708,9108885,3770420,3520137,41205574,22736305,58333530,1047500038,7.128928906,0.01322825728,0.8780159109,8.64435119,0.3305468138,2.383494233,67.38278591,0.869583262,0.359944617,0.3360512527,3.933706206,2.170530232,5.568833211,3.605285215,1.565579132,7.739363442
