hour,outgoing,incoming
00,186148400,161580215
01,3694584,2820320
02,163254995,130809222
03,116606037,110193357
04,94166916,93569108
05,77484912,77687505
06,77459835,109611382
07,94484951,143594621
08,145257514,129496121
09,183692552,151131305
10,123489055,106953456
11,2939896,2490492
12,207069701,167204980
13,2287799,2040351
14,130224336,118547587
15,127998600,121302368
16,189420632,165546257
17,95622122,90193551
18,210056210,204162996
19,3984503,3751414
20,172316001,160532235
21,3708397,3262254
22,143662573,132641631
23,123562368,104503909
