day,direction,protocol,state,connections
2022-01-01,inbound,tcp,RSTRH,58329
2022-01-01,outbound,tcp,S0,5690853
2022-01-01,outbound,tcp,S1,768957
2022-01-01,outbound,tcp,S2,58167
2022-01-01,outbound,tcp,S3,501527
2022-01-01,internal,udp,OTH,13
2022-01-01,inbound,tcp,REJ,4774733
2022-01-01,outbound,udp,SF,12333718
2022-01-01,outbound,tcp,SF,49223336
2022-01-01,outbound,tcp,SH,102246
2022-01-01,inbound,udp,SHR,7938
2022-01-01,outbound,tcp,RSTO,2494643
2022-01-01,outbound,tcp,RSTR,1553035
2022-01-01,internal,icmp,OTH,409555
2022-01-01,inbound,tcp,OTH,12416450
2022-01-01,internal,udp,S0,20392
2022-01-01,internal,tcp,S0,50756
2022-01-01,internal,tcp,S1,2608
2022-01-01,inbound,udp,S0,40262259
2022-01-01,internal,tcp,S2,327
2022-01-01,internal,tcp,S3,372
2022-01-01,inbound,tcp,S0,329249579
2022-01-01,internal,tcp,SHR,1401
2022-01-01,inbound,tcp,S1,1392982
2022-01-01,inbound,tcp,S2,1754638
2022-01-01,inbound,tcp,S3,32710
2022-01-01,outbound,tcp,SHR,694767
2022-01-01,internal,udp,SF,53470
2022-01-01,internal,tcp,RSTO,22146
2022-01-01,inbound,icmp,OTH,12360895
2022-01-01,inbound,udp,OTH,29
2022-01-01,internal,tcp,RSTR,11314
2022-01-01,internal,tcp,SF,60975
2022-01-01,inbound,udp,SF,5726573
2022-01-01,internal,tcp,SH,134
2022-01-01,internal,tcp,REJ,368
2022-01-01,inbound,tcp,SF,7194897
2022-01-01,inbound,tcp,SH,46161
2022-01-01,outbound,tcp,REJ,368083
2022-01-01,inbound,tcp,RSTO,5962537
2022-01-01,internal,udp,SHR,229
2022-01-01,internal,tcp,RSTRH,60
2022-01-01,outbound,tcp,RSTOS0,58057
2022-01-01,inbound,tcp,RSTR,4818567
2022-01-01,outbound,tcp,RSTRH,3466483
2022-01-01,outbound,udp,SHR,771197
2022-01-01,inbound,tcp,RSTOS0,880581
2022-01-01,internal,tcp,OTH,1915
2022-01-01,outbound,tcp,OTH,2697862
2022-01-01,outbound,udp,S0,601471
2022-01-01,inbound,tcp,SHR,17308
2022-01-01,outbound,icmp,OTH,1023856
2022-01-01,internal,tcp,RSTOS0,1672
2022-01-02,inbound,tcp,RSTRH,62791
2022-01-02,outbound,tcp,S0,5619400
2022-01-02,outbound,tcp,S1,783717
2022-01-02,outbound,tcp,S2,105356
2022-01-02,outbound,tcp,S3,598594
2022-01-02,internal,udp,OTH,15
2022-01-02,inbound,tcp,REJ,4841931
2022-01-02,outbound,udp,SF,13060392
2022-01-02,outbound,udp,OTH,1
2022-01-02,outbound,tcp,SF,47954031
2022-01-02,outbound,tcp,SH,86259
2022-01-02,inbound,udp,SHR,16097
2022-01-02,outbound,tcp,RSTO,2763127
2022-01-02,outbound,tcp,RSTR,1654162
2022-01-02,internal,icmp,OTH,391777
2022-01-02,inbound,tcp,OTH,13119286
2022-01-02,internal,udp,S0,19991
2022-01-02,internal,tcp,S0,48842
2022-01-02,internal,tcp,S1,2418
2022-01-02,inbound,udp,S0,41665674
2022-01-02,internal,tcp,S2,483
2022-01-02,internal,tcp,S3,493
2022-01-02,inbound,tcp,S0,336048978
2022-01-02,internal,tcp,SHR,1226
2022-01-02,inbound,tcp,S1,1375053
2022-01-02,inbound,tcp,S2,1776780
2022-01-02,inbound,tcp,S3,54041
2022-01-02,outbound,tcp,SHR,692732
2022-01-02,internal,udp,SF,49908
2022-01-02,internal,tcp,RSTO,16994
2022-01-02,inbound,icmp,OTH,12454045
2022-01-02,inbound,udp,OTH,25
2022-01-02,internal,tcp,RSTR,10398
2022-01-02,internal,tcp,SF,52533
2022-01-02,inbound,udp,SF,7214477
2022-01-02,internal,tcp,SH,98
2022-01-02,internal,tcp,REJ,726
2022-01-02,inbound,tcp,SF,7532754
2022-01-02,inbound,tcp,SH,43238
2022-01-02,outbound,tcp,REJ,405356
2022-01-02,inbound,tcp,RSTO,4833812
2022-01-02,internal,udp,SHR,343
2022-01-02,internal,tcp,RSTRH,69
2022-01-02,outbound,tcp,RSTOS0,73762
2022-01-02,inbound,tcp,RSTR,2863732
2022-01-02,outbound,tcp,RSTRH,3360738
2022-01-02,outbound,udp,SHR,752770
2022-01-02,inbound,tcp,RSTOS0,990888
2022-01-02,internal,tcp,OTH,1843
2022-01-02,outbound,tcp,OTH,3772735
2022-01-02,outbound,udp,S0,715217
2022-01-02,outbound,icmp,OTH,1095154
2022-01-02,inbound,tcp,SHR,20678
2022-01-02,internal,tcp,RSTOS0,1368
2022-01-03,inbound,tcp,RSTRH,95222
2022-01-03,outbound,tcp,S0,5935077
2022-01-03,outbound,tcp,S1,1506147
2022-01-03,outbound,tcp,S2,902884
2022-01-03,outbound,tcp,S3,1735068
2022-01-03,internal,udp,OTH,11
2022-01-03,inbound,tcp,REJ,4367658
2022-01-03,outbound,udp,SF,16665718
2022-01-03,outbound,udp,OTH,5
2022-01-03,outbound,tcp,SF,50254007
2022-01-03,outbound,tcp,SH,184181
2022-01-03,inbound,udp,SHR,74747
2022-01-03,outbound,tcp,RSTO,5236371
2022-01-03,outbound,tcp,RSTR,3081949
2022-01-03,internal,icmp,OTH,451182
2022-01-03,inbound,tcp,OTH,13375725
2022-01-03,internal,udp,S0,24363
2022-01-03,internal,tcp,S0,37744
2022-01-03,internal,tcp,S1,3675
2022-01-03,inbound,udp,S0,46821542
2022-01-03,internal,tcp,S2,3834
2022-01-03,internal,tcp,S3,4526
2022-01-03,inbound,tcp,S0,350272829
2022-01-03,inbound,tcp,S1,1050379
2022-01-03,internal,tcp,SHR,1737
2022-01-03,inbound,tcp,S2,1516827
2022-01-03,inbound,tcp,S3,276740
2022-01-03,internal,udp,SF,64577
2022-01-03,outbound,tcp,SHR,1069950
2022-01-03,internal,tcp,RSTO,38515
2022-01-03,inbound,icmp,OTH,13385330
2022-01-03,inbound,udp,OTH,47
2022-01-03,internal,tcp,RSTR,15367
2022-01-03,internal,tcp,SF,82416
2022-01-03,inbound,udp,SF,6301598
2022-01-03,internal,tcp,SH,956
2022-01-03,internal,tcp,REJ,2294
2022-01-03,inbound,tcp,SF,9818483
2022-01-03,inbound,tcp,SH,91470
2022-01-03,outbound,tcp,REJ,2070326
2022-01-03,inbound,tcp,RSTO,5509921
2022-01-03,internal,udp,SHR,2396
2022-01-03,internal,tcp,RSTRH,193
2022-01-03,outbound,tcp,RSTOS0,299525
2022-01-03,inbound,tcp,RSTR,2382944
2022-01-03,outbound,tcp,RSTRH,3432900
2022-01-03,outbound,udp,SHR,1247766
2022-01-03,inbound,tcp,RSTOS0,755946
2022-01-03,internal,tcp,OTH,2781
2022-01-03,outbound,tcp,OTH,3167157
2022-01-03,outbound,udp,S0,1643313
2022-01-03,inbound,tcp,SHR,29156
2022-01-03,outbound,icmp,OTH,1342702
2022-01-03,internal,tcp,RSTOS0,2440
2022-01-04,inbound,tcp,RSTRH,264266
2022-01-04,outbound,tcp,S0,6039620
2022-01-04,outbound,tcp,S1,1906860
2022-01-04,outbound,tcp,S2,1337588
2022-01-04,outbound,tcp,S3,2587768
2022-01-04,internal,udp,OTH,14
2022-01-04,inbound,tcp,REJ,4979308
2022-01-04,outbound,udp,SF,17145982
2022-01-04,outbound,tcp,SF,46765619
2022-01-04,outbound,tcp,SH,289433
2022-01-04,inbound,udp,SHR,118016
2022-01-04,outbound,tcp,RSTO,5934811
2022-01-04,outbound,tcp,RSTR,3520308
2022-01-04,internal,icmp,OTH,413127
2022-01-04,inbound,tcp,OTH,8556948
2022-01-04,internal,udp,S0,24867
2022-01-04,internal,tcp,S0,36921
2022-01-04,internal,tcp,S1,3839
2022-01-04,inbound,udp,S0,47212936
2022-01-04,internal,tcp,S2,5093
2022-01-04,internal,tcp,S3,5699
2022-01-04,inbound,tcp,S0,355313748
2022-01-04,internal,tcp,SHR,1708
2022-01-04,inbound,tcp,S1,1146179
2022-01-04,inbound,tcp,S2,686926
2022-01-04,inbound,tcp,S3,420925
2022-01-04,outbound,tcp,SHR,1222656
2022-01-04,internal,udp,SF,58946
2022-01-04,internal,tcp,RSTO,40020
2022-01-04,inbound,icmp,OTH,13889073
2022-01-04,inbound,udp,OTH,58
2022-01-04,internal,tcp,RSTR,13518
2022-01-04,internal,tcp,SF,83205
2022-01-04,inbound,udp,SF,8125445
2022-01-04,internal,tcp,SH,1568
2022-01-04,internal,tcp,REJ,3309
2022-01-04,inbound,tcp,SF,9817355
2022-01-04,inbound,tcp,SH,108080
2022-01-04,outbound,tcp,REJ,2748594
2022-01-04,inbound,tcp,RSTO,5604057
2022-01-04,internal,udp,SHR,2612
2022-01-04,internal,tcp,RSTRH,215
2022-01-04,outbound,tcp,RSTOS0,433402
2022-01-04,inbound,tcp,RSTR,2251127
2022-01-04,outbound,tcp,RSTRH,3632284
2022-01-04,outbound,udp,SHR,1632778
2022-01-04,inbound,tcp,RSTOS0,578671
2022-01-04,internal,tcp,OTH,3091
2022-01-04,outbound,tcp,OTH,3501022
2022-01-04,outbound,udp,S0,1797924
2022-01-04,inbound,tcp,SHR,40282
2022-01-04,outbound,icmp,OTH,1352189
2022-01-04,internal,tcp,RSTOS0,2826
2022-01-05,inbound,tcp,RSTRH,109108
2022-01-05,outbound,tcp,S0,6268415
2022-01-05,outbound,tcp,S1,1931299
2022-01-05,outbound,tcp,S2,1283384
2022-01-05,outbound,tcp,S3,2528333
2022-01-05,internal,udp,OTH,14
2022-01-05,inbound,tcp,REJ,4800676
2022-01-05,outbound,udp,SF,17431321
2022-01-05,outbound,udp,OTH,6
2022-01-05,outbound,tcp,SF,42775896
2022-01-05,outbound,tcp,SH,272490
2022-01-05,inbound,udp,SHR,116778
2022-01-05,outbound,tcp,RSTO,5935975
2022-01-05,outbound,tcp,RSTR,3595601
2022-01-05,internal,icmp,OTH,420103
2022-01-05,inbound,tcp,OTH,7386051
2022-01-05,internal,udp,S0,28660
2022-01-05,internal,tcp,S0,41415
2022-01-05,internal,tcp,S1,4432
2022-01-05,inbound,udp,S0,48368953
2022-01-05,internal,tcp,S2,5861
2022-01-05,internal,tcp,S3,6846
2022-01-05,inbound,tcp,S0,316491838
2022-01-05,internal,tcp,SHR,1893
2022-01-05,inbound,tcp,S1,1548468
2022-01-05,inbound,tcp,S2,1845115
2022-01-05,inbound,tcp,S3,452367
2022-01-05,outbound,tcp,SHR,1220857
2022-01-05,internal,udp,SF,81209
2022-01-05,internal,tcp,RSTO,46721
2022-01-05,inbound,icmp,OTH,14129066
2022-01-05,inbound,udp,OTH,440
2022-01-05,internal,tcp,RSTR,15214
2022-01-05,internal,tcp,SF,97837
2022-01-05,inbound,udp,SF,7227239
2022-01-05,internal,tcp,SH,1789
2022-01-05,internal,tcp,REJ,16051
2022-01-05,inbound,tcp,SF,11021266
2022-01-05,inbound,tcp,SH,147746
2022-01-05,outbound,tcp,REJ,3164702
2022-01-05,inbound,tcp,RSTO,6139135
2022-01-05,internal,udp,SHR,4520
2022-01-05,internal,tcp,RSTRH,473
2022-01-05,outbound,tcp,RSTOS0,430919
2022-01-05,inbound,tcp,RSTR,2292818
2022-01-05,outbound,tcp,RSTRH,3609398
2022-01-05,outbound,udp,SHR,1573463
2022-01-05,inbound,tcp,RSTOS0,529357
2022-01-05,internal,tcp,OTH,3324
2022-01-05,outbound,tcp,OTH,4007899
2022-01-05,outbound,udp,S0,2824731
2022-01-05,inbound,tcp,SHR,43735
2022-01-05,outbound,icmp,OTH,1332191
2022-01-05,internal,tcp,RSTOS0,3114
2022-01-06,inbound,tcp,RSTRH,121347
2022-01-06,outbound,tcp,S0,6272858
2022-01-06,outbound,tcp,S1,2044233
2022-01-06,outbound,tcp,S2,1362179
2022-01-06,outbound,tcp,S3,2747508
2022-01-06,internal,udp,OTH,12
2022-01-06,inbound,tcp,REJ,5362783
2022-01-06,outbound,udp,SF,17317246
2022-01-06,outbound,udp,OTH,43
2022-01-06,outbound,tcp,SF,39074300
2022-01-06,outbound,tcp,SH,298513
2022-01-06,inbound,udp,SHR,105454
2022-01-06,outbound,tcp,RSTO,5897237
2022-01-06,outbound,tcp,RSTR,3635758
2022-01-06,internal,icmp,OTH,404718
2022-01-06,inbound,tcp,OTH,8315110
2022-01-06,internal,udp,S0,26437
2022-01-06,internal,tcp,S0,45534
2022-01-06,internal,tcp,S1,4475
2022-01-06,inbound,udp,S0,52098460
2022-01-06,internal,tcp,S2,6675
2022-01-06,internal,tcp,S3,7911
2022-01-06,inbound,tcp,S0,438602885
2022-01-06,internal,tcp,SHR,1777
2022-01-06,inbound,tcp,S1,1397976
2022-01-06,inbound,tcp,S2,1779858
2022-01-06,inbound,tcp,S3,476331
2022-01-06,outbound,tcp,SHR,1266007
2022-01-06,internal,udp,SF,63765
2022-01-06,internal,tcp,RSTO,46456
2022-01-06,inbound,icmp,OTH,13664521
2022-01-06,inbound,udp,OTH,68389
2022-01-06,internal,tcp,RSTR,13457
2022-01-06,internal,tcp,SF,107789
2022-01-06,inbound,udp,SF,9217967
2022-01-06,internal,tcp,SH,2037
2022-01-06,internal,tcp,REJ,5016
2022-01-06,inbound,tcp,SF,11007465
2022-01-06,inbound,tcp,SH,151754
2022-01-06,outbound,tcp,REJ,2949193
2022-01-06,inbound,tcp,RSTO,6343622
2022-01-06,internal,udp,SHR,3193
2022-01-06,internal,tcp,RSTRH,251
2022-01-06,outbound,tcp,RSTOS0,451328
2022-01-06,inbound,tcp,RSTR,2336880
2022-01-06,outbound,tcp,RSTRH,3493739
2022-01-06,outbound,udp,SHR,1653318
2022-01-06,inbound,tcp,RSTOS0,619740
2022-01-06,internal,tcp,OTH,3346
2022-01-06,outbound,tcp,OTH,4133019
2022-01-06,outbound,udp,S0,10250614
2022-01-06,outbound,icmp,OTH,1353779
2022-01-06,inbound,tcp,SHR,43181
2022-01-06,internal,tcp,RSTOS0,3113
2022-01-07,inbound,tcp,RSTRH,107715
2022-01-07,outbound,tcp,S0,6212726
2022-01-07,outbound,tcp,S1,2016106
2022-01-07,outbound,tcp,S2,1443815
2022-01-07,outbound,tcp,S3,2717691
2022-01-07,internal,udp,OTH,8
2022-01-07,inbound,tcp,REJ,5014527
2022-01-07,outbound,udp,SF,17080631
2022-01-07,outbound,udp,OTH,39
2022-01-07,outbound,tcp,SF,38225875
2022-01-07,outbound,tcp,SH,288732
2022-01-07,inbound,udp,SHR,114877
2022-01-07,outbound,tcp,RSTO,5781984
2022-01-07,outbound,tcp,RSTR,3558744
2022-01-07,internal,icmp,OTH,427139
2022-01-07,inbound,tcp,OTH,8743050
2022-01-07,internal,udp,S0,24817
2022-01-07,internal,tcp,S0,59962
2022-01-07,internal,tcp,S1,4310
2022-01-07,inbound,udp,S0,49301547
2022-01-07,internal,tcp,S2,6182
2022-01-07,internal,tcp,S3,7638
2022-01-07,inbound,tcp,S0,348914320
2022-01-07,internal,tcp,SHR,1917
2022-01-07,inbound,tcp,S1,1372451
2022-01-07,inbound,tcp,S2,1706289
2022-01-07,inbound,tcp,S3,448429
2022-01-07,internal,udp,SF,61581
2022-01-07,outbound,tcp,SHR,1306275
2022-01-07,internal,tcp,RSTO,45446
2022-01-07,inbound,icmp,OTH,14018343
2022-01-07,inbound,udp,OTH,61665
2022-01-07,internal,tcp,RSTR,13323
2022-01-07,internal,tcp,SF,103289
2022-01-07,inbound,udp,SF,7205735
2022-01-07,internal,tcp,SH,1825
2022-01-07,internal,tcp,REJ,3625
2022-01-07,inbound,tcp,SF,10154163
2022-01-07,inbound,tcp,SH,148827
2022-01-07,outbound,tcp,REJ,2843800
2022-01-07,inbound,tcp,RSTO,5718207
2022-01-07,internal,tcp,RSTRH,243
2022-01-07,internal,udp,SHR,3102
2022-01-07,outbound,tcp,RSTOS0,450978
2022-01-07,inbound,tcp,RSTR,2081214
2022-01-07,outbound,tcp,RSTRH,3672365
2022-01-07,outbound,udp,SHR,1571405
2022-01-07,inbound,tcp,RSTOS0,875965
2022-01-07,internal,tcp,OTH,9932
2022-01-07,outbound,tcp,OTH,3074791
2022-01-07,outbound,udp,S0,16701254
2022-01-07,outbound,icmp,OTH,1330447
2022-01-07,inbound,tcp,SHR,35238
2022-01-07,internal,tcp,RSTOS0,3225
2022-01-08,inbound,tcp,RSTRH,84201
2022-01-08,outbound,tcp,S0,5896834
2022-01-08,outbound,tcp,S1,1192955
2022-01-08,outbound,tcp,S2,515560
2022-01-08,outbound,tcp,S3,1272097
2022-01-08,internal,udp,OTH,4
2022-01-08,inbound,tcp,REJ,5247319
2022-01-08,outbound,udp,SF,14776589
2022-01-08,outbound,udp,OTH,33
2022-01-08,outbound,tcp,SF,32839441
2022-01-08,outbound,tcp,SH,142017
2022-01-08,inbound,udp,SHR,58561
2022-01-08,outbound,tcp,RSTO,4050675
2022-01-08,outbound,tcp,RSTR,2332863
2022-01-08,internal,icmp,OTH,429441
2022-01-08,inbound,tcp,OTH,10162352
2022-01-08,internal,udp,S0,22043
2022-01-08,internal,tcp,S0,67503
2022-01-08,internal,tcp,S1,2970
2022-01-08,inbound,udp,S0,55613856
2022-01-08,internal,tcp,S2,3456
2022-01-08,internal,tcp,S3,4066
2022-01-08,inbound,tcp,S0,354679996
2022-01-08,internal,tcp,SHR,1445
2022-01-08,inbound,tcp,S1,1250629
2022-01-08,inbound,tcp,S2,1324287
2022-01-08,inbound,tcp,S3,178667
2022-01-08,outbound,tcp,SHR,964435
2022-01-08,internal,udp,SF,56007
2022-01-08,internal,tcp,RSTO,34473
2022-01-08,inbound,icmp,OTH,14164269
2022-01-08,inbound,udp,OTH,72019
2022-01-08,internal,tcp,RSTR,12387
2022-01-08,internal,tcp,SF,98155
2022-01-08,inbound,udp,SF,10313032
2022-01-08,internal,tcp,SH,818
2022-01-08,internal,tcp,REJ,3044
2022-01-08,inbound,tcp,SF,8074631
2022-01-08,inbound,tcp,SH,87170
2022-01-08,outbound,tcp,REJ,1607957
2022-01-08,inbound,tcp,RSTO,4497734
2022-01-08,internal,udp,SHR,1594
2022-01-08,internal,tcp,RSTRH,122
2022-01-08,outbound,tcp,RSTOS0,216159
2022-01-08,inbound,tcp,RSTR,2086281
2022-01-08,outbound,tcp,RSTRH,3386427
2022-01-08,outbound,udp,SHR,937487
2022-01-08,inbound,tcp,RSTOS0,705904
2022-01-08,internal,tcp,OTH,2436
2022-01-08,outbound,tcp,OTH,2855985
2022-01-08,outbound,udp,S0,4460256
2022-01-08,outbound,icmp,OTH,1103925
2022-01-08,inbound,tcp,SHR,26952
2022-01-08,internal,tcp,RSTOS0,2068
2022-01-09,inbound,tcp,RSTRH,85554
2022-01-09,outbound,tcp,S0,5954777
2022-01-09,outbound,tcp,S1,1347420
2022-01-09,outbound,tcp,S2,540093
2022-01-09,outbound,tcp,S3,1419305
2022-01-09,internal,udp,OTH,9
2022-01-09,inbound,tcp,REJ,5623354
2022-01-09,outbound,udp,SF,15707022
2022-01-09,outbound,udp,OTH,463
2022-01-09,outbound,tcp,SF,32681548
2022-01-09,outbound,tcp,SH,138246
2022-01-09,inbound,udp,SHR,61365
2022-01-09,outbound,tcp,RSTO,4626682
2022-01-09,outbound,tcp,RSTR,2514109
2022-01-09,internal,icmp,OTH,413802
2022-01-09,inbound,tcp,OTH,10483664
2022-01-09,internal,udp,S0,21829
2022-01-09,internal,tcp,S0,73126
2022-01-09,internal,tcp,S1,2725
2022-01-09,inbound,udp,S0,54461450
2022-01-09,internal,tcp,S2,2855
2022-01-09,internal,tcp,S3,3286
2022-01-09,inbound,tcp,S0,367594627
2022-01-09,internal,tcp,SHR,1345
2022-01-09,inbound,tcp,S1,1257782
2022-01-09,inbound,tcp,S2,1282893
2022-01-09,inbound,tcp,S3,195017
2022-01-09,outbound,tcp,SHR,997754
2022-01-09,internal,udp,SF,52827
2022-01-09,internal,tcp,RSTO,31100
2022-01-09,inbound,icmp,OTH,14343358
2022-01-09,internal,tcp,RSTR,12229
2022-01-09,inbound,udp,OTH,49205
2022-01-09,internal,tcp,SF,83788
2022-01-09,inbound,udp,SF,10358081
2022-01-09,internal,tcp,SH,762
2022-01-09,internal,tcp,REJ,2634
2022-01-09,inbound,tcp,SF,8716951
2022-01-09,inbound,tcp,SH,92385
2022-01-09,outbound,tcp,REJ,1619901
2022-01-09,inbound,tcp,RSTO,4565629
2022-01-09,internal,udp,SHR,1552
2022-01-09,internal,tcp,RSTRH,125
2022-01-09,outbound,tcp,RSTOS0,227877
2022-01-09,inbound,tcp,RSTR,2026483
2022-01-09,outbound,tcp,RSTRH,3429710
2022-01-09,outbound,udp,SHR,958127
