Week,SourceSubnet,Connections,Outbound,Inbound,TotalBytes
Feb 2020,112/28,2037706,2725385648919,484880757496,3210266406415
Feb 2020,64/28,649771,1519483481751,181979087310,1701462569061
Feb 2020,240/28,131754,807547919860,66442264096,873990183956
Feb 2020,192/28,201920,522842006977,110712579399,633554586376
Feb 2020,48/28,86028,201525684785,176993349173,378519033958
Feb 2020,128/28,207583,305792151099,71378028527,377170179626
Feb 2020,96/28,19248,246902023497,8783008430,255685031927
Feb 2020,224/28,47445,225150424549,13399325242,238549749791
Feb 2020,80/28,108478,196068391447,8069099130,204137490577
Feb 2020,144/28,6051,41340132634,14284408432,55624541066
Apr 2020,192/28,2198303,6812867803684,1418605591233,8231473394917
Apr 2020,112/28,942425,2463012683127,265932058941,2728944742068
Apr 2020,64/28,278939,941139208037,126173126824,1067312334861
Apr 2020,96/28,71651,657323988102,24608379664,681932367766
Apr 2020,144/28,2912,485420212024,16355462457,501775674481
Apr 2020,240/28,50165,389572148446,50906209987,440478358433
Apr 2020,48/28,30227,181634672997,218329158639,399963831636
Apr 2020,128/28,98474,262288045948,8492669520,270780715468
Apr 2020,32/28,15377,127012329619,11314955181,138327284800
Apr 2020,224/28,15565,107521874017,10354153730,117876027747
Sept 2020,192/28,2495194,11279493365668,3002760994004,14282254359672
Sept 2020,112/28,2076836,11875141530248,1392042252730,13267183782978
Sept 2020,64/28,446141,2616948452446,288020690880,2904969143326
Sept 2020,48/28,58906,384953175063,620250008345,1005203183408
Sept 2020,240/28,177404,782768412091,92560324497,875328736588
Sept 2020,128/28,130181,741759081414,77353479173,819112560587
Sept 2020,96/28,30473,218658580095,10612414538,229270994633
Sept 2020,208/28,17919,176874851530,23068372685,199943224215
Sept 2020,224/28,21944,110361463884,12253591914,122615055798
Sept 2020,80/28,34267,105914736320,3547699262,109462435582
Sept 2021,112/28,3064587,6581876614902,1463768879002,8045645493904
Sept 2021,64/28,516229,1835945733713,390540042601,2226485776314
Sept 2021,192/28,431476,1228772861903,254392652354,1483165514257
Sept 2021,32/28,19281,694684257184,18958662329,713642919513
Sept 2021,128/28,237515,547585354560,86985429020,634570783580
Sept 2021,48/28,69037,262795661058,92423902216,355219563274
Sept 2021,80/28,114811,290555776336,15560550091,306116326427
Sept 2021,96/28,26590,79604301628,10219091538,89823393166
Sept 2021,208/28,110833,28836809031,54333737978,83170547009
Sept 2021,144/28,4029,41391503701,12377115428,53768619129
