Week,Proto/Port,Connections,Outbound,Inbound,TotalBytes
Feb 2020,tcp/443,3047892,4250016042356,1058113034191,5308129076547
Feb 2020,tcp/80,589738,2473580244176,58026365403,2531606609579
Feb 2020,tcp/22,563,262634216104,13101331707,275735547811
Feb 2020,udp/443,18397,42463829246,2174024934,44637854180
Feb 2020,udp/8801,584,24417795528,13814619856,38232415384
Apr 2020,tcp/443,3079497,6672273675258,1251940289334,7924213964592
Apr 2020,tcp/80,677911,4204002539798,61691519645,4265694059443
Apr 2020,udp/8801,13307,865687509278,429967487356,1295654996634
Apr 2020,tcp/22,288,532424233240,32831866802,565256100042
Apr 2020,udp/3480,1430,119791206012,75645949557,195437155569
Sept 2020,tcp/443,4736069,18744895187584,2276994605033,21021889792617
Sept 2020,tcp/80,910345,5253905155269,74070157206,5327975312475
Sept 2020,udp/8801,27100,3137664147759,1382128715718,4519792863477
Sept 2020,udp/3480,2982,942867744088,576326467801,1519194211889
Sept 2020,tcp/22,294,158092982542,581250216049,739343198591
Sept 2021,tcp/443,4598047,7427742232307,1437597059678,8865339291985
Sept 2021,tcp/80,570308,2810922623733,40756969138,2851679592871
Sept 2021,udp/8801,13428,1180721011633,480014935220,1660735946853
Sept 2021,udp/3480,2225,444069586577,222910363668,666979950245
Sept 2021,tcp/22,198,47643160500,63836038376,111479198876
