Week,SourceSubnet,Connections,Outbound,Inbound,TotalBytes
Feb 2020,160,3529878,6828715075214,1178335103567,8007050178781
Feb 2020,90,58091,143153029999,36295874507,179448904506
Feb 2020,91,30961,88253943927,23901317193,112155261120
Feb 2020,225,35201,52872907667,13669280262,66542187929
Feb 2020,234,15968,58686209572,2248718401,60934927973
Apr 2020,160,3754053,12536639631608,2170801625517,14707441257125
Apr 2020,90,24691,103166691605,79125220342,182291911947
Apr 2020,92,15702,61131935224,1639960379,62771895603
Apr 2020,91,11316,44489112539,5393001407,49882113946
Apr 2020,225,18776,27399271059,17067877276,44467148335
Sept 2020,160,5550226,28414245859349,5544543710879,33958789570228
Sept 2020,90,63304,302710625794,25387485799,328098111593
Sept 2020,225,26658,88492032308,30333876904,118825909212
Sept 2020,91,23961,106272216160,7863440395,114135656555
Sept 2020,234,21190,92401688627,17297318200,109699006827
Sept 2021,160,4637679,11649185565815,2413263386782,14062448952597
Sept 2021,81,599409,190652956715,91423477848,282076434563
Sept 2021,90,36568,126796170844,10234795123,137030965967
Sept 2021,91,19422,107098997318,4658258136,111757255454
Sept 2021,191,5835,71694796637,2187664137,73882460774
