Rank,Week,TargetSubnet,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts,Difference,Color
1,Feb 2020,213,110444,1161036085077,1718159442957,2879195528034,57775,254,34273,24864,557123357880,In > Out
2,Feb 2020,96,1593990,873653054773,57047803356,930700858129,173035,43,64558,6,816605251417,Out > In
3,Feb 2020,125,2944,6863488787,447059532968,453923021755,1304,7,2206,27,440196044181,In > Out
4,Feb 2020,181,340004,359911531275,14146856132,374058387407,4525,14,55636,45,345764675143,Out > In
5,Feb 2020,2,93547,347151325253,20948856878,368100182131,18331,31,41783,101,326202468375,Out > In
6,Feb 2020,142,497374,291338755386,16936129242,308274884628,6954,44,61196,23633,274402626144,Out > In
7,Feb 2020,208,234549,273320977421,5798894797,279119872218,44922,33,53531,5,267522082624,Out > In
8,Feb 2020,49,2941,192890178021,73499840284,266390018305,903,17,1832,1103,119390337737,Out > In
9,Feb 2020,155,365833,217955466517,5764014504,223719481021,14480,27,58341,466,212191452013,Out > In
10,Feb 2020,215,175570,183758953566,6700291042,190459244608,4493,8,53757,30,177058662524,Out > In
11,Feb 2020,160,11442,68260958765,121062838527,189323797292,4475,63,5423,7964,52801879762,In > Out
12,Feb 2020,221,175491,179716821981,6699247286,186416069267,4616,12,53635,11,173017574695,Out > In
13,Feb 2020,225,173742,178366714703,6781014378,185147729081,4619,12,54131,30,171585700325,Out > In
14,Feb 2020,168,168660,175605030063,6670996966,182276027029,4405,9,53549,12,168934033097,Out > In
15,Feb 2020,150,178102,174360087065,7160864901,181520951966,4414,4,54087,21,167199222164,Out > In
16,Feb 2020,235,318992,171053083826,4755022560,175808106386,11877,2,43040,2,166298061266,Out > In
17,Feb 2020,73,57893,149574798118,7385097253,156959895371,10826,26,28891,102,142189700865,Out > In
18,Feb 2020,38,315024,114024558071,36078732099,150103290170,35632,22,52967,2,77945825972,Out > In
19,Feb 2020,256,9009,61419703476,80705472681,142125176157,5663,16,4208,4148,19285769205,In > Out
20,Feb 2020,52,3210,138677365430,1866586762,140543952192,406,17,3024,19,136810778668,Out > In
21,Feb 2020,200,75469,115472071478,2702396335,118174467813,18949,32,33178,2,112769675143,Out > In
22,Feb 2020,90,136568,97988786269,5157910496,103146696765,777,13,50555,45,92830875773,Out > In
23,Feb 2020,37,15583,81409066995,3681931504,85090998499,4374,1,12408,2,77727135491,Out > In
24,Feb 2020,179,43569,64442540831,4956246483,69398787314,4434,7,13480,14,59486294348,Out > In
25,Feb 2020,19,47028,34806916339,24209227870,59016144209,14767,17,23582,4,10597688469,Out > In
26,Feb 2020,122,7359,54377006994,3351701065,57728708059,1014,10,3523,13,51025305929,Out > In
27,Feb 2020,169,465,44381887300,8585896799,52967784099,95,7,387,8,35795990501,Out > In
