SourceSubnet,Conns,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
213,144303768,6516526284663,63295455845358,69811982130021,256,489647,65412,59961
160,135840918,4430066095523,18683576439443,23113642534966,256,203170,61687,25766
256,11165614,339612424749,4254837113562,4594449538311,256,98417,64833,7054
49,19793799,450612840068,1569891634845,2020504474913,256,32346,61330,1768
210,60558,1163704924794,394225186291,1557930111085,256,5516,15932,12228
143,2057761,83036698278,1237514656707,1320551354985,256,25749,50845,2672
46,664544,34493218546,944591126851,979084345397,256,14640,49692,4520
229,1333544,42769208388,876382733835,919151942223,256,36015,41255,6349
161,1659691,82520159084,787894284517,870414443601,256,33366,41581,4159
169,653498,224769843989,629694513908,854464357897,256,20079,56987,1706
2,1645793,4965912104,838291712992,843257625096,256,22364,64702,26992
127,1614251,68865006007,704151515596,773016521603,256,34248,52478,4987
228,1696689,74739473925,650469310880,725208784805,256,34192,44468,4540
131,1784484,75126649351,616006691508,691133340859,256,35564,41623,4667
133,2012727,87571833913,596350038560,683921872473,256,34608,43562,4680
128,1403190,77723346084,603712098672,681435444756,256,32159,43799,4343
98,1662739,65491483815,588696319438,654187803253,256,35983,41285,6087
70,1515400,70519794401,581892802359,652412596760,256,32066,43076,3775
124,1351426,57082997676,572723823111,629806820787,256,32732,43075,4557
206,119531,14797668080,613767182392,628564850472,256,4867,26363,3674
79,678344,5714365264,616904028638,622618393902,256,2127,31567,899
123,1416879,49625691078,550041734320,599667425398,256,34187,42175,4380
171,1278702,42186549290,545250056308,587436605598,256,32896,42348,4274
195,1202280,45418814127,529562817867,574981631994,256,34042,59426,4142
134,1541001,49942177812,511419487328,561361665140,256,38520,41151,7020
132,1634402,65068624602,495095133034,560163757636,256,32347,43390,3566
73,2402788,82373935562,469615577406,551989512968,256,29839,62697,10686
235,6261256,42493740795,494334695844,536828436639,256,6347,37424,1185
112,1627039,50194063704,466523765533,516717829237,256,28873,40189,3208
221,440490,14250386977,459130471620,473380858597,256,15623,39502,2969
130,2215961,56970378427,285057317782,342027696209,256,9215,29956,731
197,1333374,26339759596,301734053194,328073812790,256,27478,43402,2605
94,1745967,61199398778,265868873937,327068272715,256,24550,63163,3300
48,147378,5940050489,304233744330,310173794819,256,3391,27854,1434
59,118854,193218372014,114119425601,307337797615,256,4354,27511,20655
16,2447065,12892976991,251023709295,263916686286,256,13579,44310,5017
45,96615,11119168003,250751680553,261870848556,256,9790,27176,2826
90,1177809,99797917982,131238671454,231036589436,256,16618,47965,4064
165,500323,59025420247,115201076130,174226496377,256,15509,54432,1254
118,1294896,41281468393,125136400391,166417868784,256,21049,35507,22078
85,440004,77903908529,75585370282,153489278811,256,10695,27652,771
184,1598851,8104569069,145375945941,153480515010,256,18241,64828,6707
198,665325,13559932705,125871286282,139431218987,256,17325,30245,17546
239,161169,2504495262,123669519720,126174014982,256,3426,26637,1050
119,799050,9998661706,115158500247,125157161953,256,16887,44329,2476
125,89158,94528027847,20698320703,115226348550,256,4122,29761,1094
181,821353,22470943317,91724905712,114195849029,256,29802,37387,11639
74,863167,41174738944,72513002239,113687741183,256,20790,47571,3613
99,504886,4513504468,98750819242,103264323710,256,18096,35842,6234
204,70402,3431531024,93307331514,96738862538,256,6773,27862,2434
117,1276858,43047278513,44651405480,87698683993,256,16534,64906,2569
122,342447,29538265613,53949112372,83487377985,256,9600,42244,32267
51,689253,6147512934,71103216165,77250729099,256,8401,45763,2815
250,626580,3362408306,69577106329,72939514635,256,7208,63342,1699
92,623182,3083888736,67901778969,70985667705,256,8387,36471,1656
234,867816,15050994252,55310757683,70361751935,256,22168,38370,15791
4,451040,5074663398,64446792193,69521455591,256,7157,37384,1024
212,26814,65117625528,2508968211,67626593739,256,2795,14613,2743
35,3866430,10801581569,52228455336,63030036905,256,4197,37641,1157
91,953786,7190414457,53099477495,60289891952,256,15488,47739,759
89,596343,8771856067,48908551819,57680407886,256,7011,29539,742
29,1930727,13975927349,40581514728,54557442077,256,12665,41743,893
129,426734,4176952364,48631002877,52807955241,256,11961,38643,2740
246,357421,2262618871,48977046142,51239665013,256,3258,27448,952
225,442094,18486448667,31777752805,50264201472,256,13446,39800,2116
7,595477,11634147634,37667668833,49301816467,256,17093,51528,16984
155,1526088,2269066437,46034305182,48303371619,256,28985,49278,5402
179,193014,13532957996,33388038423,46920996419,256,6726,29301,3841
215,422595,14231848052,32039712884,46271560936,256,12103,37316,4114
150,327966,15402343338,30230750380,45633093718,256,11521,33206,2130
156,294490,18707947412,23271224540,41979171952,256,9965,32044,1331
138,62270,786546597,37792622563,38579169160,256,3611,24029,854
159,167861,2115252175,36127060030,38242312205,256,5958,28656,1205
142,743557,1759722453,35985623558,37745346011,256,4323,38421,6208
52,2570780,2223831756,32737734887,34961566643,256,21830,47857,4607
56,323099,5058853329,28997759284,34056612613,256,7211,35510,665
82,246303,2425968687,30301518384,32727487071,256,8330,38999,1476
222,49851970,9440885005,23270541957,32711426962,256,87773,64820,2096
178,172279,7801392554,23903319744,31704712298,256,6593,30880,1190
168,214585,11516012478,19434002545,30950015023,256,8677,31580,4442
149,189204,4638151892,25938952329,30577104221,256,6664,30186,1763
44,183571,4988879779,25522339750,30511219529,256,3859,27493,1158
200,3120802,2918927665,27276249983,30195177648,256,2574,38850,657
208,313818,2300777337,26968396124,29269173461,256,5019,33745,1013
13,78039,170799113,27899049088,28069848201,256,3337,26297,1030
167,202666,5427148419,22316382720,27743531139,256,7205,28808,5323
83,181990,2244699787,24910454387,27155154174,256,4313,27655,960
170,458990,3695181743,20304907217,24000088960,256,6743,42226,4247
145,105243,541019806,23122919486,23663939292,256,4572,27148,2209
65,124523,1584630240,18457564332,20042194572,256,5829,30103,1073
196,165177,504815348,18492758834,18997574182,256,9729,34353,4169
209,162746,522063216,17833672420,18355735636,256,9265,34937,4538
115,319497,2028219525,15106708743,17134928268,256,3911,27855,1038
180,205610,2041961733,14973137563,17015099296,256,5733,27987,2942
154,239784,1241768520,15108927993,16350696513,256,8741,31337,1650
84,101361,909353263,15327904153,16237257416,256,3791,27591,884
242,1070234,3807967602,11447137741,15255105343,256,13952,43898,3855
77,81209,2165225763,12671215360,14836441123,256,5296,27925,734
141,125012,624431683,13595870512,14220302195,256,5116,28494,2367
54,163653,506284384,12353037564,12859321948,256,2227,28365,632
207,113943,1093820260,11412931134,12506751394,256,7693,28524,1843
9,98797,590795414,11838874294,12429669708,256,4489,26755,885
190,13503791,3411777061,8868077047,12279854108,256,36082,41472,4352
166,173650,1125172241,9784554782,10909727023,256,4925,27602,961
164,215886,632197739,9618357320,10250555059,256,10411,39947,1698
146,134073,1077665436,9149908648,10227574084,256,5581,28136,1024
236,109962,1664431387,7520768120,9185199507,256,6903,27002,1134
81,56201,4493642894,4418730609,8912373503,256,1533,27134,740
173,66110,587894760,6258689376,6846584136,256,3290,26353,898
63,112891,186700627,6559446918,6746147545,256,7729,23882,2019
241,613759,1504455061,4886414808,6390869869,256,7159,32946,736
57,1369850,3140448100,3207073885,6347521985,256,49957,39188,1191
120,56118,155288287,5518334720,5673623007,256,2883,26842,930
191,173753,916207006,4467466909,5383673915,256,5345,25822,736
203,107314,1101846974,4139669782,5241516756,256,3552,26953,877
5,608966,278378852,4244788969,4523167821,256,14530,64704,1557
58,69761,579404589,3908642535,4488047124,256,1940,26191,656
14,211860,382796616,3767027371,4149823987,256,6624,33300,1146
80,88603,393342712,3661344112,4054686824,256,4117,29365,1246
224,164763,216956919,3791122036,4008078955,256,8310,28891,1034
6,71750,186311391,3476784344,3663095735,256,2389,27561,972
183,54484,327272996,3019710844,3346983840,256,4642,23086,1413
11,59948,359782228,2781599864,3141382092,256,2825,29900,913
75,52515,279811407,2260185936,2539997343,256,2735,23710,831
214,42342,83722662,2102732349,2186455011,256,2890,20772,804
144,48898,77813380,2093637917,2171451297,256,4177,20358,2254
176,26449,85280682,2063854885,2149135567,256,2886,16627,1456
21,41196,80882658,2028635067,2109517725,256,4678,19753,1441
110,56515,150077311,1955220747,2105298058,256,3816,24585,1134
174,114469,308385325,1651972748,1960358073,256,3879,26782,989
3,131797,81146231,1505867777,1587014008,256,4777,34519,5009
96,213490,1240282782,191262900,1431545682,256,15238,31427,10790
26,21530,14981670,1338490228,1353471898,256,1391,15390,725
248,41514,41032355,1267135385,1308167740,256,3740,19983,1305
55,189334,242048644,1006884737,1248933381,256,6653,48309,671
175,38585,294768564,954082853,1248851417,256,3509,21693,1174
22,29821,27771838,930121097,957892935,256,2968,17111,923
50,753430,841994082,74888810,916882892,256,88876,15288,855
114,28035,206722774,694877642,901600416,256,2634,17406,815
172,143739,138664180,734269579,872933759,256,3018,27972,888
151,34336,341951398,390908203,732859601,256,2906,21653,1224
23,23119,17583936,656158911,673742847,256,1818,15921,818
60,31369,429981580,39632328,469613908,256,3315,15438,1450
226,27876,18603951,393428137,412032088,256,2633,16674,948
86,391089,195340459,197191587,392532046,256,10956,26588,1126
33,1151748,144957355,207057161,352014516,256,14027,49317,65040
192,90055,52094461,270077168,322171629,256,4681,16755,757
43,24283,189452700,20307214,209759914,256,2411,15152,806
126,45701,12919457,195676385,208595842,256,4087,19949,1663
153,27994,13724828,186604128,200328956,256,2572,16941,838
199,334291,174522334,9398015,183920349,256,22780,21368,2728
19,241520,45728046,54749504,100477550,256,14942,35113,6516
111,28920,69804837,26185581,95990418,256,1841,14669,642
88,27689,39471436,37407160,76878596,256,1217,17103,675
68,114481,64322065,5721175,70043240,256,4144,16506,930
220,188270,46249610,8636062,54885672,256,9389,24165,1299
25,20417,2317531,51524650,53842181,256,1219,14580,677
72,203985,30165437,12427434,42592871,256,15409,31127,5535
34,126341,28262589,6693727,34956316,256,8480,15827,983
40,29263,3419225,26298186,29717411,256,2946,18259,1463
177,29091,6657282,21112815,27770097,256,2770,15528,974
202,100086,12818579,7252219,20070798,256,8631,24377,3600
53,55753,8667619,10319868,18987487,256,5368,20245,2148
157,36010,6176904,10832898,17009802,256,1190,14718,635
38,82277,10164278,6546561,16710839,256,7058,22997,3581
230,25980,1693811,8755295,10449106,256,1636,15060,765
139,36116,2670681,5523739,8194420,256,3471,14863,2181
147,21363,172206,7387962,7560168,256,1247,14669,631
193,28703,1293079,6206154,7499233,256,2892,15656,1128
18,23396,1274999,5967011,7242010,256,2198,14927,1518
253,21354,251250,6902024,7153274,256,1213,14604,800
37,31684,1895845,5173755,7069600,256,3504,16288,1232
189,26502,1050231,5890931,6941162,256,2791,15448,940
163,20887,230913,6427790,6658703,256,1193,14467,645
97,28625,1432943,5104760,6537703,256,3014,14834,1537
20,20923,119083,6412808,6531891,256,1210,14531,676
217,21915,351280,6177786,6529066,256,1353,14608,760
187,22923,384665,6047487,6432152,256,1873,14919,999
41,20709,204850,6165907,6370757,256,1184,14662,799
245,25050,864028,5479308,6343336,256,2751,15374,979
249,24473,751419,5555001,6306420,256,2417,15501,967
185,21411,199200,6096271,6295471,256,1196,14762,707
116,23168,600684,5516840,6117524,256,2255,14999,1074
182,21212,306886,5774635,6081521,256,1440,14447,287
244,21084,178936,5891412,6070348,256,1228,14636,684
0,24540,711615,5350632,6062247,256,2762,15305,1131
194,21134,175947,5877025,6052972,256,1195,14679,697
186,20943,169619,5878680,6048299,256,1209,14588,642
1,21215,116787,5914808,6031595,256,1229,14729,594
243,22898,548954,5480164,6029118,256,2188,15023,943
188,21231,346080,5677782,6023862,256,1460,14451,301
227,23032,565222,5452710,6017932,256,2402,14977,945
232,22775,526684,5470845,5997529,256,2258,15012,904
113,22753,707489,5279986,5987475,256,2245,15023,856
12,23036,495657,5422061,5917718,256,1905,14622,942
211,20526,182876,5720175,5903051,256,1234,14384,739
233,22628,510316,5389194,5899510,256,2090,15064,982
205,20898,174756,5687911,5862667,256,1170,14695,717
201,20622,178814,5609446,5788260,256,1154,14532,642
223,21642,314992,5427445,5742437,256,1671,14935,1097
219,20506,172657,5565166,5737823,256,1217,14320,681
121,23038,517319,5204027,5721346,256,2288,15147,906
66,22927,492124,5217929,5710053,256,2289,14972,871
252,20870,244018,5456520,5700538,256,1221,14503,806
47,23191,510345,5169225,5679570,256,2238,14953,1210
231,20567,157300,5479344,5636644,256,1185,14590,670
251,20651,158358,5475651,5634009,256,1208,14537,664
216,20691,150394,5478780,5629174,256,1196,14687,639
237,20886,189077,5415401,5604478,256,1242,14694,754
28,20730,127260,5475466,5602726,256,1224,14592,646
67,20265,120143,5476253,5596396,256,1188,14547,561
240,20499,194751,5393253,5588004,256,1140,14646,701
247,20697,203267,5375527,5578794,256,1247,14632,741
42,22824,491693,5085048,5576741,256,2187,15168,801
238,20631,180148,5367491,5547639,256,1186,14629,709
254,20586,170613,5369583,5540196,256,1195,14616,682
61,20555,130299,5407290,5537589,256,1254,14639,619
39,22961,556383,4973296,5529679,256,1677,14593,684
69,20466,145176,5377703,5522879,256,1208,14482,659
135,22316,565681,4954020,5519701,256,2292,14796,858
87,20638,180762,5336263,5517025,256,1190,14592,751
218,20455,178920,5325148,5504068,256,1149,14510,780
93,21825,377117,5110676,5487793,256,1688,14985,1247
17,20836,166474,5313909,5480383,256,1349,14627,899
255,20030,187479,5283288,5470767,256,1176,14348,651
162,20541,191725,5278403,5470128,256,1227,14500,748
30,20335,107424,5360752,5468176,256,1173,14478,571
36,20399,117656,5345402,5463058,256,1185,14513,649
78,20569,136503,5313518,5450021,256,1209,14563,621
137,20415,173589,5178953,5352542,256,1192,14579,642
8,20692,158955,5179928,5338883,256,1279,14655,826
62,20561,123922,5196967,5320889,256,1229,14805,611
76,20293,162523,5137434,5299957,256,1205,14674,632
148,20177,177590,5118242,5295832,256,1203,14531,653
15,20884,179915,5114399,5294314,256,1294,14718,927
158,20281,180800,5087911,5268711,256,1188,14572,637
32,20376,113955,5134724,5248679,256,1211,14467,622
71,20261,115346,5116330,5231676,256,1197,14457,609
64,20281,132922,5092961,5225883,256,1176,14595,630
95,19990,166525,5044195,5210720,256,1172,14402,689
140,20198,187955,4954573,5142528,256,1249,14423,674
136,20242,162497,4885023,5047520,256,1177,14664,599
24,20165,137247,4904243,5041490,256,1159,14688,663
27,20234,109537,4865585,4975122,256,1235,14727,582
31,20163,121429,4822465,4943894,256,1218,14540,602
152,19957,179065,4690188,4869253,256,1196,14568,671
