SourceSubnet,Out_perc,In_perc
213,5.22373,50.7384
160,3.55119,14.977
256,0.272237,3.41073
49,0.361217,1.25844
210,0.93284,0.316016
143,0.0665632,0.992007
46,0.0276502,0.757196
229,0.0342843,0.702519
161,0.0661491,0.631586
169,0.180178,0.504771
2,0.00398073,0.671985
127,0.055203,0.564456
228,0.0599121,0.521424
131,0.0602224,0.493798
133,0.0701986,0.478041
128,0.062304,0.483943
98,0.0524988,0.471906
70,0.0565295,0.466452
124,0.0457584,0.459102
206,0.011862,0.492003
79,0.0045807,0.494518
123,0.0397805,0.44092
171,0.0338172,0.437079
195,0.0364083,0.424504
134,0.0400342,0.40996
132,0.0521598,0.396874
73,0.0660319,0.376449
235,0.0340635,0.396265
112,0.0402362,0.373971
221,0.0114233,0.368044
130,0.0456681,0.228505
197,0.0211143,0.241874
94,0.0490582,0.213124
48,0.00476162,0.243877
59,0.154886,0.0914795
16,0.0103352,0.201224
45,0.00891326,0.201006
90,0.0799992,0.105202
165,0.0473155,0.0923466
118,0.0330917,0.100311
85,0.0624487,0.0605901
184,0.00649672,0.116535
198,0.0108698,0.1009
239,0.00200763,0.099135
119,0.00801505,0.0923124
125,0.0757748,0.016592
181,0.018013,0.0735278
74,0.0330062,0.0581273
99,0.00361808,0.0791598
204,0.00275076,0.0747963
117,0.0345072,0.0357931
122,0.0236782,0.0432463
51,0.00492792,0.0569972
250,0.00269535,0.0557738
92,0.00247208,0.0544309
234,0.0120651,0.0443378
4,0.00406791,0.0516613
212,0.0521991,0.00201122
35,0.00865868,0.041867
91,0.00576392,0.0425652
89,0.00703162,0.0392057
29,0.0112033,0.0325306
129,0.0033483,0.0389832
246,0.00181374,0.0392606
225,0.014819,0.0254734
7,0.00932607,0.0301949
155,0.00181891,0.0369017
179,0.0108482,0.0267643
215,0.0114084,0.0256834
150,0.0123467,0.0242333
156,0.0149965,0.0186545
138,0.000630505,0.030295
159,0.00169561,0.0289599
142,0.00141061,0.0288465
52,0.00178265,0.026243
56,0.00405524,0.023245
82,0.00194469,0.0242901
222,0.00756793,0.0186539
178,0.00625369,0.0191612
168,0.00923137,0.0155785
149,0.003718,0.020793
44,0.00399915,0.020459
200,0.00233985,0.021865
208,0.00184433,0.0216182
13,0.000136915,0.0223642
167,0.00435047,0.0178891
83,0.00179938,0.0199685
170,0.0029621,0.0162767
145,0.000433688,0.0185356
65,0.00127026,0.0147958
196,0.000404666,0.014824
209,0.000418492,0.0142957
115,0.00162585,0.0121097
180,0.00163686,0.0120026
154,0.000995417,0.0121115
84,0.000728948,0.012287
242,0.00305251,0.00917616
77,0.00173567,0.0101574
141,0.000500552,0.0108986
54,0.000405844,0.00990234
207,0.000876819,0.00914874
9,0.000473589,0.00949018
190,0.00273492,0.00710876
166,0.000901952,0.00784342
164,0.000506777,0.00771019
146,0.00086387,0.00733468
236,0.00133423,0.00602874
81,0.00360216,0.00354211
173,0.000471263,0.00501704
63,0.000149661,0.00525813
241,0.00120599,0.00391701
57,0.00251742,0.00257083
120,0.000124481,0.00442356
191,0.000734443,0.00358118
203,0.000883254,0.00331841
5,0.000223152,0.00340267
58,0.000464458,0.00313321
14,0.000306854,0.00301969
80,0.000315308,0.00293498
224,0.000173915,0.00303901
6,0.000149349,0.00278703
183,0.000262346,0.00242064
11,0.000288406,0.00222976
75,0.0002243,0.00181179
214,6.71131e-05,0.00168558
144,6.23761e-05,0.00167829
176,6.8362e-05,0.00165441
21,6.48365e-05,0.00162618
110,0.000120304,0.00156733
174,0.000247205,0.00132424
3,6.50478e-05,0.00120712
96,0.000994226,0.000153319
26,1.20095e-05,0.00107295
248,3.2892e-05,0.00101575
55,0.000194029,0.000807131
175,0.00023629,0.000764804
22,2.22622e-05,0.000745596
50,0.000674953,6.00318e-05
114,0.000165711,0.000557022
172,0.000111155,0.000588599
151,0.000274112,0.000313357
23,1.40955e-05,0.000525985
60,0.000344678,3.17697e-05
226,1.49132e-05,0.000315377
86,0.000156587,0.000158071
33,0.0001162,0.00016598
192,4.17595e-05,0.000216497
43,0.000151868,1.62785e-05
126,1.03564e-05,0.000156857
153,1.1002e-05,0.000149584
199,0.000139899,7.53356e-06
19,3.66561e-05,4.38879e-05
111,5.59564e-05,2.09907e-05
88,3.16408e-05,2.9986e-05
68,5.15613e-05,4.58616e-06
220,3.70742e-05,6.92277e-06
25,1.85776e-06,4.13028e-05
72,2.4181e-05,9.96198e-06
34,2.26556e-05,5.36577e-06
40,2.74089e-06,2.10809e-05
177,5.33656e-06,1.69243e-05
202,1.02755e-05,5.81347e-06
53,6.94807e-06,8.27253e-06
157,4.95148e-06,8.68378e-06
38,8.14781e-06,5.2478e-06
230,1.35778e-06,7.01835e-06
139,2.14085e-06,4.4279e-06
147,1.38042e-07,5.92228e-06
193,1.03655e-06,4.97493e-06
18,1.02205e-06,4.78323e-06
253,2.01405e-07,5.53275e-06
37,1.51973e-06,4.14734e-06
189,8.41878e-07,4.72224e-06
163,1.85103e-07,5.15259e-06
97,1.14866e-06,4.09204e-06
20,9.54584e-08,5.14058e-06
217,2.8159e-07,4.95219e-06
187,3.08352e-07,4.84774e-06
41,1.6421e-07,4.94266e-06
245,6.92615e-07,4.39228e-06
249,6.02346e-07,4.45296e-06
185,1.59681e-07,4.88684e-06
116,4.81515e-07,4.42237e-06
182,2.46003e-07,4.62902e-06
244,1.43437e-07,4.72263e-06
0,5.70439e-07,4.28913e-06
194,1.41041e-07,4.71109e-06
186,1.35969e-07,4.71242e-06
1,9.36179e-08,4.74138e-06
243,4.40048e-07,4.39297e-06
188,2.77422e-07,4.55138e-06
227,4.53089e-07,4.37096e-06
232,4.22196e-07,4.38549e-06
113,5.67132e-07,4.2325e-06
12,3.97325e-07,4.34639e-06
211,1.46596e-07,4.58536e-06
233,4.09075e-07,4.32004e-06
205,1.40087e-07,4.5595e-06
201,1.43339e-07,4.4966e-06
223,2.52501e-07,4.3507e-06
219,1.38404e-07,4.4611e-06
121,4.14689e-07,4.17161e-06
66,3.94492e-07,4.18275e-06
252,1.95608e-07,4.37401e-06
47,4.09099e-07,4.14371e-06
231,1.26094e-07,4.39231e-06
251,1.26942e-07,4.38935e-06
216,1.20558e-07,4.39186e-06
237,1.51566e-07,4.34105e-06
28,1.02013e-07,4.3892e-06
67,9.63081e-08,4.38983e-06
240,1.56115e-07,4.3233e-06
247,1.62941e-07,4.30909e-06
42,3.94147e-07,4.07624e-06
238,1.44409e-07,4.30265e-06
254,1.36765e-07,4.30432e-06
61,1.04449e-07,4.33455e-06
39,4.46003e-07,3.98665e-06
