SourceSubnet,Conns,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
213,449761334,24351464145487,192511773635338,216863237780825,256,646451,65343,58217
160,137153001,4013543411681,16018961277283,20032504688964,256,173735,65314,8449
256,34266476,1197057968437,13667125661794,14864183630231,256,213359,65514,23326
28,840284,6859625046540,66104844243,6925729890783,256,3086,64192,14058
117,8916686,554336441115,4236525869485,4790862310600,256,89235,65507,13774
49,46930166,878681107789,3509015828991,4387696936780,256,50319,65343,3215
210,273630,1606182755997,610878413231,2217061169228,256,6553,62972,12635
124,1947237,189964580470,1569311664286,1759276244756,256,46903,64850,12014
132,1790938,91472123434,1638151198254,1729623321688,256,43415,64506,9616
123,1479800,108590931957,1316546613218,1425137545175,256,38446,64438,8928
2,3819463,10194014063,1343524176498,1353718190561,256,34979,65481,64833
133,1658807,106704926124,1180159816182,1286864742306,256,41772,64651,9868
112,1571868,95098630518,1068705268815,1163803899333,256,38602,64812,8635
134,1633023,79127837449,1043219418349,1122347255798,256,37640,64480,8693
131,1690516,96777696611,1013508469699,1110286166310,256,40167,64621,9460
228,1479036,70543343094,1038007590035,1108550933129,256,41572,64435,9657
171,1693549,94565335691,998777828171,1093343163862,256,41040,64580,9341
161,1551190,98774913724,979274819172,1078049732896,256,40701,64719,9081
98,1690299,83072677610,954098249078,1037170926688,256,39600,64490,8894
195,1416362,88434755246,918310774754,1006745530000,256,37118,64561,8404
128,1575002,93383289271,898701002373,992084291644,256,44810,64790,10257
229,1664710,88795848202,901546514173,990342362375,256,47112,64648,8903
127,1640878,83934507664,902759356387,986693864051,256,40056,64435,8890
70,1454217,61909926333,919374195911,981284122244,256,37847,64487,8930
65,489296,758032577423,86531908395,844564485818,256,12116,63766,4699
46,832779,75042834313,656860635925,731903470238,256,25940,64296,7332
73,3607144,86618734868,561950005864,648568740732,256,43112,65370,17974
197,2218416,76828292217,372038852645,448867144862,256,32914,64463,4347
16,1589234,64766491394,336711076300,401477567694,256,16950,64316,1001
79,518396,199632618256,185927655321,385560273577,256,3368,64021,1779
81,4459146,123765352169,261579862953,385345215122,256,20206,64839,869
48,493121,43043123053,321838414864,364881537917,256,15861,64297,4998
235,4002182,20533215385,270972657540,291505872925,256,5637,63998,2946
143,377701,10164424689,264966499277,275130923966,256,11890,64087,5091
169,775886,54113230040,220848777859,274962007899,256,19633,63900,2041
119,1032636,37837721757,215065480065,252903201822,256,21557,64283,6759
184,1828953,45361080500,193586221056,238947301556,256,27147,65479,22050
90,1044243,34196498036,156247979588,190444477624,256,17891,64733,1862
74,1780049,37008807183,148813377524,185822184707,256,30931,64625,9823
7,971899,21980569448,155106203635,177086773083,256,15260,65223,4116
165,923015,53653885504,121807787464,175461672968,256,25870,65081,3837
198,998697,12692877663,159764811207,172457688870,256,21406,63702,22083
154,889296,28911109963,122351628251,151262738214,256,21235,64218,3802
236,960791,42787779181,105616904832,148404684013,256,16927,63924,3663
91,877562,8728431324,132896902351,141625333675,256,12441,64208,1636
51,1206687,39655493602,101789344018,141444837620,256,12051,63966,6969
129,1429149,32436614740,106190296338,138626911078,256,25754,65411,13815
118,1059766,26918290515,111182386693,138100677208,256,23613,64228,5106
85,902114,37037886381,99877318963,136915205344,256,15183,63651,997
191,350179,3951579190,123088221566,127039800756,256,6839,63785,1568
181,1564311,17174774431,105657675391,122832449822,256,37932,64560,9291
130,1086471,26021475427,95194284481,121215759908,256,12572,63559,860
149,727540,7520629189,110777678050,118298307239,256,16875,63658,4372
89,981450,32203799639,83013256995,115217056634,256,20922,63687,1178
246,1499639,14113951780,88468321559,102582273339,256,7738,63446,1503
221,807460,16121379374,78307973395,94429352769,256,22970,64116,5348
141,686882,8242828069,82526659016,90769487085,256,16416,64482,8874
82,1786525,13994664024,74466275188,88460939212,256,19259,64386,3742
168,796632,37437715829,46365662311,83803378140,256,18279,63868,11157
234,826574,21383493644,56084025532,77467519176,256,21444,64069,4441
83,687830,17906347460,58492594964,76398942424,256,19080,64673,2590
44,287507,3408315202,72071509936,75479825138,256,7938,63569,5113
