SourceSubnet,Conns,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
213,583379988,14687007730649,121135925335434,135822933066083,256,689085,62596,62263
160,147431235,2824440319734,12534611516408,15359051836142,256,232663,62342,13378
256,38115927,1042218100030,10676841802758,11719059902788,256,212511,64845,21277
16,6013671,2633778747532,435183324607,3068962072139,256,51509,55103,14562
49,24246210,490746647639,1694691154531,2185437802170,256,68697,62187,4643
161,2364889,97490817890,1434958521124,1532449339014,256,56737,52808,10157
142,721542,1457226249503,64803701179,1522029950682,256,9053,52939,22012
112,2096924,79927437953,1418350710542,1498278148495,256,50507,49778,8655
123,2242316,79998667943,1213797866652,1293796534595,256,53360,54407,8764
79,649394,34171750006,1205575443923,1239747193929,256,10316,31173,548
228,2200379,79467570061,1148435248541,1227902818602,256,49961,52168,7960
131,2172121,93318895044,1086949672260,1180268567304,256,56559,50832,10942
195,2344082,81033721244,1071749051568,1152782772812,256,56837,50047,8996
127,2254140,86173082911,1062659957844,1148833040755,256,50847,51158,7663
134,2131004,89662557173,1043437871371,1133100428544,256,53404,54219,8532
229,2149620,68990589840,1035614011951,1104604601791,256,50519,49981,8426
124,2029239,69063065231,1003838133426,1072901198657,256,51157,53027,8414
133,2138897,77667712096,977707035883,1055374747979,256,49212,52103,8019
171,2237857,75014793856,938589128996,1013603922852,256,53899,49621,8496
98,2071440,96022962120,897820145405,993843107525,256,49649,52173,7387
128,2282080,93507543149,900091166981,993598710130,256,51722,52118,8575
132,2163339,72868294045,920103507324,992971801369,256,52835,49404,8702
70,2445932,67094083899,919472674170,986566758069,256,54062,53800,9292
181,1746516,362074360389,368475676801,730550037190,256,39377,50036,56331
206,376909,17832850350,665156377889,682989228239,256,18176,34631,4230
143,1027475,96684685328,540761056661,637445741989,256,29673,57030,6779
51,717874,559255498738,56368810052,615624308790,256,18116,45782,1708
94,2000743,387698926488,161640529531,549339456019,256,33908,62829,4909
169,510138,343877667898,135622024053,479499691951,256,22462,51335,1402
197,2751680,46762998256,388362797353,435125795609,256,43152,50979,3126
117,1173797,333439484880,82109818444,415549303324,256,24520,64971,7551
125,687896,15849367230,378054618512,393903985742,256,32689,48147,24935
73,3225891,85984141626,293137755044,379121896670,256,47104,64340,23577
74,2738577,210278143654,113267418049,323545561703,256,34758,52495,40246
44,349540,17480502300,304454848704,321935351004,256,13241,29628,5371
2,2951216,2697366682,318049762981,320747129663,256,38353,64634,62400
165,814973,238921871338,72902003582,311823874920,256,27246,45405,2341
235,4304881,21963621048,282141391697,304105012745,256,10528,39197,1028
101,1237968,220076678785,81946165417,302022844202,256,26783,59249,37445
90,2267580,85406659965,203974469798,289381129763,256,35767,47128,31167
46,356533,12615070457,247695456075,260310526532,256,20871,32202,6304
129,1319523,58534335499,193545573799,252079909298,256,28752,59471,3641
184,3040932,27594420299,175162643602,202757063901,256,38844,64837,4559
104,856692,129353198443,68570533879,197923732322,256,20891,36985,1435
7,1114681,70170194688,88588642203,158758836891,256,27579,60512,26314
91,2058636,30466050728,118964954014,149431004742,256,33716,56691,646
168,835593,83246595799,62439782012,145686377811,256,25035,46168,37647
198,989217,27148466532,116561244584,143709711116,256,27907,33090,25568
118,2573586,19374624055,119862878081,139237502136,256,34466,50140,45807
180,436348,4827814309,133209922789,138037737098,256,15294,30037,2678
250,1221924,9183581112,128250789680,137434370792,256,23628,64303,1861
234,1119314,6514960402,124956878202,131471838604,256,27335,44718,15293
130,1113208,31113871876,97033442598,128147314474,256,24608,35811,501
149,1173317,24266080907,101381795199,125647876106,256,24574,33958,14473
99,969443,31912373151,90485155281,122397528432,256,23627,36686,11545
225,1049265,20475585660,92448821934,112924407594,256,32009,48256,30861
56,1037935,9494376821,93925183700,103419560521,256,20243,38394,477
119,1135891,37615560673,60654400660,98269961333,256,29585,50096,2823
204,297997,5138208274,90766283472,95904491746,256,18517,40700,7983
178,265740,4694749791,89396241443,94090991234,256,15108,32468,1040
156,508239,59717965926,24451425995,84169391921,256,21033,34196,3473
65,662353,5890290506,75728109477,81618399983,256,19660,36249,13353
221,1168206,23276810386,57911429469,81188239855,256,28447,44131,49716
4,797353,4217602471,73419273909,77636876380,256,14974,45224,4736
85,528672,12279996820,57571582590,69851579410,256,16984,29119,487
89,749941,12918101783,56031838190,68949939973,256,18674,33098,478
246,548522,3024848850,63063198255,66088047105,256,15277,29217,415
92,916054,9096983392,56295403854,65392387246,256,20762,32061,1253
29,1603009,9509659831,54540561615,64050221446,256,23785,42710,1210
215,697634,12672216886,51228374888,63900591774,256,23871,44518,26740
122,1264208,9356742915,52982516088,62339259003,256,20201,45330,59302
179,428692,8238203858,52703161720,60941365578,256,18655,35337,39737
103,304598,25753952802,32856790931,58610743733,256,14539,46373,9472
170,725433,6814619447,51201215067,58015834514,256,22964,43844,1298
82,476305,3393510626,52758365780,56151876406,256,19832,43057,1838
154,521028,6418336891,49183937972,55602274863,256,20716,45076,1422
48,91546,2427395005,47491706967,49919101972,256,11573,29416,5910
