SourceSubnet,Out_perc,In_perc
213,7.27659,60.016
160,1.39935,6.2102
256,0.51636,5.28977
16,1.30489,0.215609
49,0.243137,0.839624
161,0.0483012,0.710941
142,0.721974,0.0321066
112,0.0395996,0.702713
123,0.0396348,0.601369
79,0.0169302,0.597295
228,0.0393717,0.568985
131,0.0462343,0.538522
195,0.0401477,0.530991
127,0.0426939,0.526488
134,0.0444228,0.516965
229,0.034181,0.513089
124,0.0342169,0.497345
133,0.03848,0.484399
171,0.0371656,0.465018
98,0.047574,0.444819
128,0.0463277,0.445945
132,0.0361021,0.45586
70,0.0332413,0.455547
181,0.179387,0.182559
206,0.00883517,0.329548
143,0.0479018,0.267917
51,0.27708,0.0279276
94,0.192083,0.0800838
169,0.170372,0.0671931
197,0.0231684,0.192412
117,0.165201,0.0406808
125,0.00785247,0.187305
73,0.0426003,0.145233
74,0.104181,0.0561176
44,0.00866061,0.15084
2,0.00133639,0.157576
165,0.118372,0.0361188
235,0.0108817,0.139785
101,0.109036,0.0405997
90,0.0423142,0.101058
46,0.00625006,0.122719
129,0.0290005,0.0958909
184,0.0136715,0.0867832
104,0.0640872,0.0339728
7,0.0347654,0.0438907
91,0.0150942,0.0589404
168,0.041244,0.0309354
198,0.0134505,0.0577495
118,0.00959904,0.0593853
180,0.00239191,0.065998
250,0.00454995,0.0635411
234,0.0032278,0.0619091
130,0.0154152,0.0480746
149,0.0120225,0.050229
99,0.0158108,0.0448303
225,0.0101445,0.0458032
56,0.00470393,0.0465346
119,0.0186364,0.0300508
204,0.00254569,0.0449696
178,0.00232598,0.0442908
156,0.0295869,0.0121143
65,0.00291831,0.037519
221,0.0115324,0.0286919
4,0.00208958,0.0363751
85,0.00608405,0.0285235
89,0.00640019,0.0277606
246,0.00149864,0.0312443
92,0.00450704,0.0278912
29,0.0047115,0.0270218
215,0.00627837,0.0253808
122,0.00463574,0.0262499
179,0.00408157,0.0261115
103,0.0127596,0.0162787
170,0.00337626,0.0253673
82,0.00168129,0.0261388
154,0.00317992,0.0243679
48,0.00120264,0.0235295
150,0.00815383,0.0161104
45,0.00106313,0.022691
236,0.00465357,0.0173503
212,0.0194803,0.00132007
83,0.00198058,0.014451
241,0.00271439,0.0135102
196,0.000662764,0.015535
222,0.00416883,0.012002
80,0.000726006,0.0147345
208,0.0120299,0.00242306
54,0.000612087,0.0137932
52,0.00141536,0.0127384
110,0.000222271,0.0137101
141,0.00304536,0.00957869
224,0.00181919,0.0103479
153,0.00251114,0.00859343
159,0.00240296,0.00832983
35,0.00223168,0.00837793
146,0.00118755,0.00929305
9,0.000717608,0.00902584
100,0.00199787,0.00745582
167,0.00195794,0.00669312
84,0.000978495,0.00761908
63,0.000820142,0.00684228
55,0.000958215,0.00629141
175,0.000370429,0.00641189
59,0.00524224,0.00152768
173,0.000509325,0.00622886
166,0.00134339,0.00519979
77,0.000470915,0.00599117
191,0.000769723,0.00565899
145,0.000198756,0.0060789
106,0.000737399,0.00551162
120,0.000980329,0.00518999
144,0.000956708,0.00519286
115,0.00106687,0.00491233
155,0.00276282,0.00309516
239,0.000659385,0.00495837
58,0.000594354,0.00488387
200,0.00113671,0.00407129
