Rank,Week,SourceSubnet,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts,Difference,Color
1,Feb 2020,213,22149502,7836945443966,75129818501440,82966763945406,254,246022,51747,38757,67292873057474,1
2,Feb 2020,160,3529878,1178335103567,6828715075214,8007050178781,95,64463,50498,5603,5650379971647,1
3,Feb 2020,256,1421263,546622863945,6693638064022,7240260927967,10,50885,35804,4671,6147015200077,1
4,Feb 2020,16,170933,1899123625088,269600583359,2168724208447,10,9926,25691,159,1629523041729,2
5,Feb 2020,142,30056,1331968974772,29913201533,1361882176305,56,134,13452,2603,1302055773239,2
6,Feb 2020,112,146724,46335479915,995692259010,1042027738925,144,8239,22575,402,949356779095,1
7,Feb 2020,49,456916,171972730235,853546687423,1025519417658,17,12033,27692,643,681573957188,1
8,Feb 2020,161,230441,65709277322,900407496694,966116774016,161,9804,24451,1302,834698219372,1
9,Feb 2020,79,30374,19719649828,870520024476,890239674304,4,2646,12531,36,850800374648,1
10,Feb 2020,123,112334,46231180424,814153420194,860384600618,144,8723,24651,352,767922239770,1
11,Feb 2020,228,104584,43702356392,761611785212,805314141604,130,8334,23246,328,717909428820,1
12,Feb 2020,134,113268,61006366208,715863931123,776870297331,151,9117,24198,485,654857564915,1
13,Feb 2020,131,114193,57025080222,682289139899,739314220121,141,11005,24083,1702,625264059677,1
14,Feb 2020,195,118581,44880771670,679584794319,724465565989,204,9147,22893,486,634704022649,1
15,Feb 2020,229,109023,35217076265,686561706267,721778782532,136,8007,24869,398,651344630002,1
16,Feb 2020,127,114626,51407245099,669903747175,721310992274,166,8274,23806,359,618496502076,1
17,Feb 2020,133,103680,41633456993,640474342092,682107799085,129,7803,25020,365,598840885099,1
18,Feb 2020,124,108029,40934811811,634253188694,675188000505,167,8180,23872,488,593318376883,1
19,Feb 2020,132,101913,44055203676,621301690689,665356894365,161,7845,23634,460,577246487013,1
20,Feb 2020,171,111424,43590202649,619749333476,663339536125,151,8741,24433,508,576159130827,1
21,Feb 2020,98,107127,62220233987,591754602225,653974836212,144,8027,25000,473,529534368238,1
22,Feb 2020,128,109651,56775678491,567188472407,623964150898,118,8637,23987,525,510412793916,1
23,Feb 2020,70,107693,33841634561,584310298785,618151933346,122,8813,24831,644,550468664224,1
24,Feb 2020,206,8111,14019440859,563419816724,577439257583,56,1369,6376,18,549400375865,1
25,Feb 2020,51,16498,455090646649,39761963765,494852610414,53,1919,10958,427,415328682884,2
26,Feb 2020,143,38534,76612306668,383075993659,459688300327,19,4524,21725,384,306463686991,1
27,Feb 2020,117,13771,319439139733,50323290883,369762430616,19,2173,11730,49,269115848850,2
28,Feb 2020,169,31701,231931650775,115472163431,347403814206,18,2147,17682,44,116459487344,2
29,Feb 2020,94,37251,231454318533,102226594290,333680912823,4,3488,17240,1103,129227724243,2
30,Feb 2020,2,909,2105122607,316391637966,318496760573,12,78,871,24,314286515359,1
31,Feb 2020,44,40325,15988440423,267060359011,283048799434,2,887,15030,136,251071918588,1
32,Feb 2020,197,37477,25002189645,250790528028,275792717673,197,4179,17207,171,225788338383,1
33,Feb 2020,165,22300,233506049318,41527641917,275033691235,32,2563,15227,57,191978407401,2
34,Feb 2020,125,14242,9526470938,225642708953,235169179891,29,2689,9770,670,216116238015,1
35,Feb 2020,235,429186,5415359662,228864731744,234280091406,3,812,28233,3,223449372082,1
36,Feb 2020,73,89962,49048556008,180255802947,229304358955,138,6400,18839,791,131207246939,1
37,Feb 2020,74,36513,130283093341,69717505923,200000599264,92,3521,16061,304,60565587418,2
38,Feb 2020,90,58091,36295874507,143153029999,179448904506,91,4677,22724,4280,106857155492,1
39,Feb 2020,46,14542,8502420243,156639687492,165142107735,35,2785,8982,390,148137267249,1
