2019-11-30	2019-12-01	2019-12-02	2019-12-03	2019-12-04	2019-12-05	2019-12-06	2019-12-07	2019-12-08	2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
(empty)	dcsrv02.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	_services._dns-sd._udp.local	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca
_services._dns-sd._udp.local	uc.admin.ad.ucalgary.ca	admin.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	uc.admin.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	admin.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	_services._dns-sd._udp.local	dcsrv01.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca
uc.admin.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca
admin.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	dcsrv03.ad.ucalgary.ca
dcsrv01.ad.ucalgary.ca	admin.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	dcsrv02.ad.ucalgary.ca	admin.ad.ucalgary.ca	admin.ad.ucalgary.ca	dcsrv01.ad.ucalgary.ca	admin.ad.ucalgary.ca	admin.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	research.esrg.stanford.edu	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	dcsrv03.ad.ucalgary.ca	(empty)	p13n.adobe.io
dcsrv02.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	admin.ad.ucalgary.ca	admin.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	wpad.admin.ad.ucalgary.ca	admin.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	admin.ad.ucalgary.ca	admin.ad.ucalgary.ca	_services._dns-sd._udp.local	admin.ad.ucalgary.ca
dcsrv03.ad.ucalgary.ca	wpad.admin.ad.ucalgary.ca	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	research.esrg.stanford.edu	research.esrg.stanford.edu	wpad.admin.ad.ucalgary.ca	(empty)	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	wpad.admin.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	wpad.admin.ad.ucalgary.ca	wpad.admin.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	p13n.adobe.io	admin.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca
uc.campus.ad.ucalgary.ca	_services._dns-sd._udp.local	wpad.admin.ad.ucalgary.ca	wpad.admin.ad.ucalgary.ca	uc.campus.ad.ucalgary.ca	(empty)	wpad.admin.ad.ucalgary.ca	wpad.admin.ad.ucalgary.ca	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	_services._dns-sd._udp.local	_services._dns-sd._udp.local	admin.ad.ucalgary.ca	wpad.admin.ad.ucalgary.ca	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	uc.campus.ad.ucalgary.ca	shasta-ors.norton.com
p13n.adobe.io	shasta-ors.norton.com	_services._dns-sd._udp.local	_services._dns-sd._udp.local	wpad.admin.ad.ucalgary.ca	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	_services._dns-sd._udp.local	shasta-ors.norton.com	_services._dns-sd._udp.local	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	research.esrg.stanford.edu	_services._dns-sd._udp.local	(empty)	wpad.admin.ad.ucalgary.ca	wpad.admin.ad.ucalgary.ca	wpad.admin.ad.ucalgary.ca
*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	subitaneous.cpsc.ucalgary.ca	|	|	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	_services._dns-sd._udp.local	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	subitaneous.cpsc.ucalgary.ca	campus.ad.ucalgary.ca	subitaneous.cpsc.ucalgary.ca	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	p13n.adobe.io	uc.campus.ad.ucalgary.ca	shasta-ors.norton.com	_services._dns-sd._udp.local
