2019-11-30	2019-12-01	2019-12-02	2019-12-03	2019-12-04	2019-12-05	2019-12-06	2019-12-07	2019-12-08	2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	|	|	|	|	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca
37.190.159.136.in-addr.arpa	|	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	webpax.cipac.ucalgary.ca	|	|	|	|	|	|	|	|	37.190.159.136.in-addr.arpa	captive.roku.com
|	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	37.190.159.136.in-addr.arpa	captive.roku.com	|
www.google.com	www.google.com	www.google.com	www.google.com	(empty)	www.google.com	65.52.33.153.in-addr.arpa	191.44.96.156.in-addr.arpa	191.44.96.156.in-addr.arpa	www.google.com	www.google.com	captive.roku.com	captive.roku.com	norfolkairport.net	|	37.190.159.136.in-addr.arpa
us.mydlink.com	softwareupdate.vmware.com	arpa	(empty)	www.google.com	(empty)	www.google.com	65.52.33.153.in-addr.arpa	www.google.com	softwareupdate.vmware.com	us.mydlink.com	www.google.com	www.google.com	captive.roku.com	norfolkairport.net	c.6.b.0.a.0.0.0.0.2.c.f.b.3.9.8.2.7.7.2.a.0.7.0.0.0.1.b.5.0.6.2.ip6.arpa
softwareupdate.vmware.com	us.mydlink.com	com	us.mydlink.com	us.mydlink.com	softwareupdate.vmware.com	softwareupdate.vmware.com	www.google.com	softwareupdate.vmware.com	us.mydlink.com	com	us.mydlink.com	com	www.google.com	www.google.com	4.9.d.e.5.f.2.f.1.7.8.5.a.b.c.0.2.7.7.2.a.0.7.0.0.0.1.b.5.0.6.2.ip6.arpa
offlineearthquake.com	offlineearthquake.com	s.brightspace.com	softwareupdate.vmware.com	softwareupdate.vmware.com	us.mydlink.com	s.brightspace.com	softwareupdate.vmware.com	myip.opendns.com	s.brightspace.com	softwareupdate.vmware.com	softwareupdate.vmware.com	arpa	us.mydlink.com	offlineearthquake.com	www.google.com
(empty)	auth.gfx.ms	softwareupdate.vmware.com	s.brightspace.com	s.brightspace.com	s.brightspace.com	182.159.106.38.in-addr.arpa	tick.ucalgary.ca	swscan.apple.com	myip.opendns.com	arpa	bellcan.adbureau.net	us.mydlink.com	softwareupdate.vmware.com	us.mydlink.com	us.mydlink.com
swscan.apple.com	(empty)	net	myip.opendns.com	rcitos.ricohcanada.ca	arpa	offlineearthquake.com	us.mydlink.com	us.mydlink.com	swscan.apple.com	s.brightspace.com	sy.eu.angsrvr.com	node0.knes.ucalgary.ca	sy.eu.angsrvr.com	softwareupdate.vmware.com	softwareupdate.vmware.com
auth.gfx.ms	swscan.apple.com	us.mydlink.com	sfcan.loki.delve.office.com	myip.opendns.com	com	us.mydlink.com	(empty)	auth.gfx.ms	sy.eu.angsrvr.com	offlineearthquake.com	s.brightspace.com	node1.knes.ucalgary.ca	offlineearthquake.com	swscan.apple.com	offlineearthquake.com
myip.opendns.com	myip.opendns.com	sfcan.loki.delve.office.com	rcitos.ricohcanada.ca	offlineearthquake.com	65.52.33.153.in-addr.arpa	sy.eu.angsrvr.com	auth.gfx.ms	(empty)	prodnet10613-10630edgea0000.sharepointonline.com.akadns.net	swscan.apple.com	swscan.apple.com	softwareupdate.vmware.com	182.159.106.38.in-addr.arpa	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	paris.ensmp.fr
nduropasture.net	e6858.dsce9.akamaiedge.net	myip.opendns.com	swscan.apple.com	sfcan.loki.delve.office.com	myip.opendns.com	myip.opendns.com	swscan.apple.com	merit-ca.mail.protection.outlook.com	auth.gfx.ms	auth.gfx.ms	auth.gfx.ms	rcitos.ricohcanada.ca	node0.knes.ucalgary.ca	auth.gfx.ms	cybercable.fr
e4518.dscx.akamaiedge.net	e4518.dscx.akamaiedge.net	offlineearthquake.com	auth.gfx.ms	swscan.apple.com	sfcan.loki.delve.office.com	(empty)	182.159.106.38.in-addr.arpa	s.brightspace.com	arpa	(empty)	node0.knes.ucalgary.ca	net	node1.knes.ucalgary.ca	myip.opendns.com	swscan.apple.com
e6858.dsce9.akamaiedge.net	e8220.dscd.akamaiedge.net	swscan.apple.com	ow2.res.office365.com	auth.gfx.ms	offlineearthquake.com	auth.gfx.ms	myip.opendns.com	offlineearthquake.com	191.44.96.156.in-addr.arpa	sy.eu.angsrvr.com	node1.knes.ucalgary.ca	s.brightspace.com	rcitos.ricohcanada.ca	e6858.dsce9.akamaiedge.net	auth.gfx.ms
e8220.dscd.akamaiedge.net	captive.g.aaplimg.com	shasta-ors.norton.com	p13n.adobe.io	ow2.res.office365.com	auth.gfx.ms	swscan.apple.com	offlineearthquake.com	e6858.dsce9.akamaiedge.net	offlineearthquake.com	myip.opendns.com	(empty)	182.159.106.38.in-addr.arpa	swscan.apple.com	s.brightspace.com	e6858.dsce9.akamaiedge.net
api.buildpulse.com	e673.dsce9.akamaiedge.net	auth.gfx.ms	offlineearthquake.com	sy.eu.angsrvr.com	swscan.apple.com	sfcan.loki.delve.office.com	sy.eu.angsrvr.com	sy.eu.angsrvr.com	(empty)	e8220.dscd.akamaiedge.net	amp.ai	sy.eu.angsrvr.com	auth.gfx.ms	cybercable.fr	(empty)
e673.dsce9.akamaiedge.net	nduropasture.net	ow2.res.office365.com	com	e6858.dsce9.akamaiedge.net	sy.eu.angsrvr.com	ow2.res.office365.com	s.brightspace.com	e8220.dscd.akamaiedge.net	sfcan.loki.delve.office.com	eu	offlineearthquake.com	swscan.apple.com	s.brightspace.com	paris.ensmp.fr	eerie.fr
amp.ai	api.buildpulse.com	eu	arpa	e8220.dscd.akamaiedge.net	net	e8220.dscd.akamaiedge.net	e6858.dsce9.akamaiedge.net	e4518.dscx.akamaiedge.net	ow2.res.office365.com	e6858.dsce9.akamaiedge.net	live.wallstreetcn.com	auth.gfx.ms	*x00x00x00x00x00x00x00x00x00x00x00x00x00x00	(empty)	dialup.francenet.fr
captive.g.aaplimg.com	teredo.ipv6.microsoft.com	(empty)	e6858.dsce9.akamaiedge.net	e4518.dscx.akamaiedge.net	ow2.res.office365.com	s3-1-w.amazonaws.com	merit-ca.mail.protection.outlook.com	api.buildpulse.com	merit-ca.mail.protection.outlook.com	sfcan.loki.delve.office.com	www.wallstreetcn.com	offlineearthquake.com	myip.opendns.com	merit-ca.mail.protection.outlook.com	myip.opendns.com
merit-ca.mail.protection.outlook.com	draco.iras.ucalgary.ca	sy.eu.angsrvr.com	sy.eu.angsrvr.com	ad.afy11.net	rcitos.ricohcanada.ca	merit-ca.mail.protection.outlook.com	e8220.dscd.akamaiedge.net	captive.g.aaplimg.com	com	captive.g.aaplimg.com	passport.wallstreetcn.com	www.bonnieterrylearning.com	e6858.dsce9.akamaiedge.net	nduropasture.net	s.brightspace.com
