2019-11-30	2019-12-01	2019-12-02	2019-12-03	2019-12-04	2019-12-05	2019-12-06	2019-12-07	2019-12-08	2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
SHAW	SHAW	SHAW	SHAW	SHAW	SHAW	SHAW	SHAW	SHAW	SHAW	SHAW	TELUS	SHAW	SHAW	SHAW	SHAW
TELUS	TELUS	TELUS	TELUS	TELUS	TELUS	TELUS	UVIC-AS	TELUS	TELUS	TELUS	SHAW	TELUS	UCB	UCB	TELUS
COMCAST-7922	LIQUIDWEB	MobileOne	GOOGLE	MobileOne	AMAZON	Chinanet	TELUS	LIQUIDWEB	LIQUIDWEB	UCB	UCB	UCB	TELUS	TELUS	UCB
MICROSOFT	GOOGLE	LIQUIDWEB	MICROSOFT	LIQUIDWEB	Verein	Verein	ROGERS	UVIC-AS	Hetzner	USASK	COGENT-174	AHS	LIQUIDWEB	GOOGLE	LIQUIDWEB
BACOM	COMCAST-7922	GOOGLE	Chinanet	LESNET	GOOGLE	ROGERS	MICROSOFT	ROGERS	MICROSOFT	Chinanet	LIQUIDWEB	AMAZON	GOOGLE	OVH	PERFORMIVE
PERFORMIVE	MICROSOFT	MICROSOFT	UVIC-AS	GOOGLE	OVH	LIQUIDWEB	Chinanet	MICROSOFT	UCB	MICROSOFT	MICROSOFT	MICROSOFT	MICROSOFT	MICROSOFT	MICROSOFT
GOOGLE	ROGERS	M247	AMAZON	OVH	Chinanet	MICROSOFT	GOOGLE	Chinanet	Chinanet	PERFORMIVE	Africa-on-Cloud-AS	GOOGLE	OVH	Globe	NVIDIA
OVH	CBC-ASN-CANADIAN-BROADCASTING-CORPORATION	Chinanet	COMCAST-7922	MICROSOFT	MICROSOFT	GOOGLE	Interhost	GOOGLE	GOOGLE	CHINA	OVH	Chinanet	COMCAST-7922	BACOM	GOOGLE
CBC-ASN-CANADIAN-BROADCASTING-CORPORATION	COGENT-174	DIGITALOCEAN-ASN	APPLE	Chinanet	AHS	AMAZON	CHINA	UCB	CHINA	GOOGLE	ROGERS	OVH	AMAZON	CHINA	OVH
INTERNET-ARCHIVE	Chinanet	AMAZON	FACEBOOK	AMAZON	BACOM	COMCAST-7922	UUNET	PERFORMIVE	AMAZON	OVH	COMCAST-7922	Jisc	BACOM	ROGERS	COMCAST-7922
ROGERS	i3D.net	COMCAST-7922	ROGERS	BACOM	COMCAST-7922	BACOM	COMCAST-7922	BACOM	BACOM	AMAZON	GOOGLE	COMCAST-7922	ROGERS	Taiwan	Chinanet
Chinanet	BACOM	PERFORMIVE	AHS	ROGERS	ROGERS	CHINA	BACOM	COMCAST-7922	COMCAST-7922	APPLE	BACOM	ROGERS	Chinanet	Suniway	ROGERS
VPLS	OVH	ROGERS	MobileOne	COMCAST-7922	M247	PERFORMIVE	Globe	UUNET	ROGERS	OKSTATE	AMAZON	BACOM	HURRICANE	COMCAST-7922	SFU-AS
NETSEC	"Smart	FACEBOOK	PERFORMIVE	PERFORMIVE	APPLE	FACEBOOK	OVH	Hetzner	OVH	COMCAST-7922	AHS	SunValley	Jisc	AMAZON	CHINA
FACEBOOK	NVIDIA	CBC-ASN-CANADIAN-BROADCASTING-CORPORATION	BACOM	AHS	Virgin	CIPHERKEY	AMAZON	ESECUREDATA	24SHELLS	AHS	HUAWEI	ISP/IXP	UDELNET	Chinanet	i3D.net
AMAZON	PERFORMIVE	APPLE	SWITCH	APPLE	AS40676	OVH	Vodafone	LESNET	PERFORMIVE	45.195.93.0	HURRICANE	PERFORMIVE	Rostelecom	Telgua	ATT-INTERNET4
ATT-INTERNET4	Voxility	BACOM	NLM-GW	FACEBOOK	Hetzner	"Tencent	Hetzner	CHINA	UUNET	ROGERS	45.195.93.0	BHN-33363	AHS	Hetzner	BACOM
i3D.net	APPLE	SunValley	OVH	CHINA	FACEBOOK	CANET-ASN-4	FACEBOOK	AMAZON	COLORADOSTATEUNIV	BACOM	PERFORMIVE	FACEBOOK	PERFORMIVE	UUNET	AMAZON
DataWeb	FACEBOOK	NVIDIA	CHINA	AS40676	CHINA	Hetzner	Deutsche	XNNET	Jisc	Virgin	Chinanet	HURRICANE	COGENT-174	CODE42	UUNET
AHS	ASN-GIGENET	COGENT-174	NVIDIA	WorldStream	i3D.net	AHS	Extreme	FACEBOOK	FACEBOOK	SSC-299-25689	M247	Datacamp	Datacamp	10.90.65.0	APPLE
