Days	2019-11-30	2019-12-01	2019-12-02	2019-12-03	2019-12-04	2019-12-05	2019-12-06	2019-12-07	2019-12-08	2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
SHAW	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
TELUS	2	2	2	2	2	2	2	3	2	2	2	1	2	3	3	2
UVIC-AS	0	0	0	6	0	0	0	2	4	0	0	0	0	0	0	0
UCB	0	0	0	0	0	0	0	0	9	6	3	3	3	2	2	3
COMCAST-7922	3	5	11	8	13	11	10	11	12	12	14	10	11	8	13	10
LIQUIDWEB	0	3	4	0	4	0	6	0	3	3	0	5	0	4	0	4
MobileOne	0	0	3	13	3	0	0	0	0	0	0	0	0	0	0	0
GOOGLE	7	4	5	3	6	5	8	7	8	8	9	11	7	5	4	8
AMAZON	16	0	10	7	10	3	9	15	18	10	11	13	5	9	14	18
Chinanet	12	10	8	5	9	7	3	6	7	7	5	19	8	12	15	11
MICROSOFT	4	6	6	4	8	8	7	5	6	5	6	6	6	6	6	6
Verein	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0
ROGERS	11	7	13	11	12	12	5	4	5	13	17	9	12	11	10	12
Hetzner	0	0	0	0	0	17	19	17	14	4	0	0	0	0	17	0
USASK	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
COGENT-174	0	9	20	0	0	0	0	0	0	0	0	4	0	19	0	0
AHS	20	0	0	12	15	9	20	0	0	0	15	14	4	17	0	0
BACOM	5	12	17	15	11	10	11	12	11	11	18	12	13	10	8	17
LESNET	0	0	0	0	5	0	0	0	16	0	0	0	0	0	0	0
OVH	8	13	0	18	7	6	16	14	0	14	10	8	9	7	5	9
PERFORMIVE	6	16	12	14	14	0	13	0	10	16	7	18	16	18	0	5
M247	0	0	7	0	0	13	0	0	0	0	0	20	0	0	0	0
Africa-on-Cloud-AS	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Globe	0	0	0	0	0	0	0	13	0	0	0	0	0	0	7	0
NVIDIA	0	15	19	20	0	0	0	0	0	0	0	0	0	0	0	7
CBC-ASN-CANADIAN-BROADCASTING-CORPORATION	9	8	15	0	0	0	0	0	0	0	0	0	0	0	0	0
Interhost	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
CHINA	0	0	0	19	18	19	12	9	17	9	8	0	0	0	9	14
DIGITALOCEAN-ASN	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
APPLE	0	18	16	9	16	14	0	0	0	0	12	0	0	0	0	20
