2019-11-30	2019-12-01	2019-12-02	2019-12-03	2019-12-04	2019-12-05	2019-12-06	2019-12-07	2019-12-08	2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
NETFLIX	NETFLIX	NETFLIX	NETFLIX	NETFLIX	NETFLIX	NETFLIX	NETFLIX	NETFLIX	NETFLIX	NETFLIX	APPLE	NETFLIX	NETFLIX	NETFLIX	NETFLIX
AKAMAI	AKAMAI	AKAMAI	AKAMAI	AKAMAI	AKAMAI	AKAMAI	AKAMAI	CANARIE	GOOGLE	AKAMAI	NETFLIX	AKAMAI	APPLE	AKAMAI	CANARIE
GOOGLE	GOOGLE	GOOGLE	CANARIE	GOOGLE	CANARIE	CANARIE	CANARIE	GOOGLE	AKAMAI	GOOGLE	AKAMAI	APPLE	GOOGLE	APPLE	AKAMAI
CANARIE	CANARIE	CANARIE	GOOGLE	CANARIE	GOOGLE	GOOGLE	GOOGLE	AKAMAI	CANARIE	APPLE	GOOGLE	GOOGLE	AKAMAI	GOOGLE	GOOGLE
LEVEL3	APPLE	APPLE	APPLE	FACEBOOK	FACEBOOK	APPLE	APPLE	FACEBOOK	APPLE	CANARIE	CANARIE	CANARIE	CANARIE	CANARIE	APPLE
APPLE	FACEBOOK	FACEBOOK	FACEBOOK	APPLE	AMAZON	FACEBOOK	FACEBOOK	APPLE	FACEBOOK	MICROSOFT	MICROSOFT	FACEBOOK	FACEBOOK	FACEBOOK	FACEBOOK
FACEBOOK	AMAZON	AMAZON	MICROSOFT	MICROSOFT	APPLE	AMAZON	AMAZON	AMAZON	AMAZON	FACEBOOK	FACEBOOK	AMAZON	AMAZON	AMAZON	AMAZON
AMAZON	LEVEL3	MICROSOFT	AMAZON	AMAZON	MICROSOFT	MICROSOFT	MICROSOFT	LEVEL3	MICROSOFT	AMAZON	AMAZON	MICROSOFT	MICROSOFT	MICROSOFT	LEVEL3
DROPBOX	MICROSOFT	FASTLY	FASTLY	FASTLY	FASTLY	FASTLY	FASTLY	MICROSOFT	FASTLY	EDGECAST	EDGECAST	FASTLY	FASTLY	FASTLY	FASTLY
MICROSOFT	FASTLY	LEVEL3	LEVEL3	EDGECAST	LEVEL3	LEVEL3	LEVEL3	FASTLY	SHAW	LEVEL3	FASTLY	EDGECAST	EDGECAST	LEVEL3	MICROSOFT
FASTLY	TEKSAVVY	SHAW	EDGECAST	SHAW	EDGECAST	EDGECAST	TEKSAVVY	TEKSAVVY	EDGECAST	SHAW	LEVEL3	LEVEL3	HIGHWINDS	HIGHWINDS	EDGECAST
EDGECAST	EDGECAST	DROPBOX	SHAW	LEVEL3	HIGHWINDS	SHAW	EDGECAST	EDGECAST	LEVEL3	FASTLY	SHAW	HIGHWINDS	TEKSAVVY	EDGECAST	LLNW
LLNW	LLNW	EDGECAST	TEKSAVVY	HIGHWINDS	SHAW	HIGHWINDS	LLNW	SHAW	BCNET-AS	DROPBOX	DROPBOX	DROPBOX	LEVEL3	LLNW	SHAW
HIGHWINDS	QUANTILNETWORKS	HIGHWINDS	HIGHWINDS	TEKSAVVY	DROPBOX	LLNW	TWITCH	TWITCH	HIGHWINDS	HIGHWINDS	HIGHWINDS	SHAW	SHAW	TWITCH	HIGHWINDS
VALVE-CORPORATION	DROPBOX	LLNW	LLNW	TWITCH	TEKSAVVY	DROPBOX	HIGHWINDS	HIGHWINDS	DROPBOX	TEKSAVVY	LLNW	LLNW	LLNW	SHAW	TWITCH
TEKSAVVY	HIGHWINDS	TEKSAVVY	DROPBOX	LLNW	LLNW	TWITCH	QUANTILNETWORKS	LLNW	TWITCH	TWITCH	TWITCH	TWITCH	TWITCH	QUANTILNETWORKS	QUANTILNETWORKS
QUANTILNETWORKS	CLOUDFLARENET	CLOUDFLARENET	TWITCH	DROPBOX	TWITCH	TEKSAVVY	SHAW	QUANTILNETWORKS	LLNW	193.182.9.0	VALVE-CORPORATION	TEKSAVVY	DROPBOX	TEKSAVVY	HURRICANE
TWITCH	TWITCH	TWITCH	CLOUDFLARENET	CLOUDFLARENET	193.182.9.0	193.182.9.0	HURRICANE	193.182.9.0	193.182.9.0	LLNW	193.182.9.0	HURRICANE	QUANTILNETWORKS	HURRICANE	TEKSAVVY
CLOUDFLARENET	HURRICANE	193.182.9.0	193.182.9.0	193.182.9.0	QUANTILNETWORKS	CLOUDFLARENET	UVIC-AS	HURRICANE	QUANTILNETWORKS	CLOUDFLARENET	CLOUDFLARENET	QUANTILNETWORKS	HURRICANE	193.182.9.0	DROPBOX
HURRICANE	SHAW	QUANTILNETWORKS	BACOM	QUANTILNETWORKS	CLOUDFLARENET	QUANTILNETWORKS	193.182.9.0	"Tencent	TEKSAVVY	QUANTILNETWORKS	TELUS	193.182.9.0	193.182.9.0	"Tencent	193.182.9.0
