Days Identical_ness_day0 Identical_ness_pre Set_similarity_day0 Set_similarity_pre Absolute_rank_diff_day0 Absolute_rank_diff_pre Relative_rank_diff_day0 Relative_rank_diff_pre
2019-11-30 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
2019-12-01 0.35 0.35 0.95 0.95 1.35 1.35 0.13 0.13
2019-12-02 0.35 0.45 0.90 0.95 1.15 1.60 0.13 0.12
2019-12-03 0.20 0.45 0.85 0.95 1.45 0.80 0.18 0.09
2019-12-04 0.30 0.35 0.90 0.95 1.85 0.70 0.20 0.09
2019-12-05 0.10 0.25 0.90 1.00 1.60 1.10 0.20 0.11
2019-12-06 0.15 0.45 0.90 1.00 1.45 0.70 0.18 0.07
2019-12-07 0.20 0.50 0.85 0.90 1.35 1.15 0.16 0.08
2019-12-08 0.25 0.30 0.85 0.95 1.30 1.05 0.18 0.15
2019-12-09 0.15 0.15 0.85 0.90 1.75 1.55 0.23 0.21
2019-12-10 0.35 0.15 0.90 0.95 1.55 1.30 0.18 0.16
2019-12-11 0.20 0.45 0.85 0.90 1.65 0.70 0.29 0.16
2019-12-12 0.10 0.30 0.90 0.85 1.70 0.80 0.21 0.20
2019-12-13 0.10 0.55 0.90 1.00 2.20 0.90 0.30 0.13
2019-12-14 0.20 0.35 0.85 0.95 1.35 1.15 0.17 0.14
2019-12-15 0.15 0.30 0.90 0.95 1.65 1.05 0.22 0.15
