Days 2019-11-30 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
NETFLIX 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
APPLE 6 5 5 5 6 7 5 5 6 5 4 1 3 2 3 5
AKAMAI 2 2 2 2 2 2 2 2 4 3 2 3 2 4 2 3
CANARIE 4 4 4 3 4 3 3 3 2 4 5 5 5 5 5 2
GOOGLE 3 3 3 4 3 4 4 4 3 2 3 4 4 3 4 4
LEVEL3 5 8 10 10 12 10 10 10 8 12 10 11 11 13 10 8
FACEBOOK 7 6 6 6 5 5 6 6 5 6 7 7 6 6 6 6
AMAZON 8 7 7 8 8 6 7 7 7 7 8 8 7 7 7 7
MICROSOFT 10 9 8 7 7 8 8 8 9 8 6 6 8 8 8 10
DROPBOX 9 15 12 16 17 14 15 0 0 15 13 13 13 17 0 19
FASTLY 11 10 9 9 9 9 9 9 10 9 12 10 9 9 9 9
EDGECAST 12 12 13 11 10 11 11 12 12 11 9 9 10 10 12 11
SHAW 0 20 11 12 11 13 12 17 13 10 11 12 14 14 15 13
TEKSAVVY 16 11 16 13 14 15 17 11 11 20 15 0 17 12 17 18
HIGHWINDS 14 16 14 14 13 12 13 15 15 14 14 14 12 11 11 14
LLNW 13 13 15 15 16 16 14 13 16 17 18 15 15 15 13 12
BCNET-AS 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0
QUANTILNETWORKS 17 14 20 0 20 19 20 16 17 19 20 0 19 18 16 16
TWITCH 18 18 18 17 15 17 16 14 14 16 16 16 16 16 14 15
VALVE-CORPORATION 15 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0
CLOUDFLARENET 19 17 17 18 18 20 19 0 0 0 19 19 0 0 0 0
193.182.9.0 0 0 19 19 19 18 18 20 18 18 17 18 20 20 19 20
HURRICANE 20 19 0 0 0 0 0 18 19 0 0 0 18 19 18 17
UVIC-AS 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0
BACOM 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0
"Tencent 0 0 0 0 0 0 0 0 20 0 0 0 0 0 20 0
TELUS 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0
