2019-11-30	2019-12-01	2019-12-02	2019-12-03	2019-12-04	2019-12-05	2019-12-06	2019-12-07	2019-12-08	2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/80	tcp/443	tcp/443	tcp/80	tcp/80	tcp/80
tcp/80	tcp/80	tcp/80	tcp/80	tcp/22	udp/16393	tcp/80	tcp/80	tcp/80	tcp/80	tcp/443	tcp/80	tcp/80	tcp/443	tcp/443	tcp/443
udp/16393	tcp/22	udp/16393	udp/16393	tcp/80	tcp/22	udp/16393	tcp/52830	udp/16393	udp/16393	tcp/10443	udp/16393	tcp/10443	udp/16393	udp/16393	tcp/22
tcp/10443	udp/16393	tcp/22	tcp/22	udp/16393	tcp/80	tcp/22	udp/16393	tcp/22	tcp/22	udp/3283	tcp/10443	udp/16393	tcp/22	udp/3283	tcp/10443
udp/3283	tcp/10443	tcp/10443	tcp/10443	tcp/10443	tcp/10443	udp/3283	udp/3283	tcp/10443	tcp/10443	udp/16393	tcp/22	udp/3283	tcp/10443	tcp/10443	udp/16393
udp/1900	udp/3283	udp/3283	udp/3283	tcp/42688	udp/3283	tcp/10443	tcp/10443	udp/3283	udp/3283	udp/64916	udp/3283	tcp/18233	udp/3283	udp/3702	udp/3283
udp/3702	udp/3702	udp/58541	tcp/51342	udp/3283	udp/1900	udp/3702	tcp/22	tcp/35288	tcp/18233	udp/3702	udp/1863	udp/13647	tcp/51413	tcp/51413	udp/1863
tcp/22	udp/59040	udp/64916	udp/7273	udp/1900	tcp/18233	udp/64916	udp/3702	udp/64409	udp/64916	udp/1900	udp/3702	tcp/22	udp/3702	tcp/22	udp/3702
udp/56954	udp/1863	udp/3702	udp/49005	udp/1194	udp/3702	udp/1863	tcp/38094	tcp/56966	udp/1900	tcp/22	udp/64916	udp/63384	udp/1863	udp/49181	udp/49005
tcp/1935	udp/49005	tcp/37860	tcp/18233	udp/64916	tcp/55381	tcp/57160	udp/1863	udp/3702	tcp/1935	tcp/548	udp/5093	tcp/1935	udp/5093	udp/64916	udp/4500
udp/58500	udp/4500	tcp/1935	udp/1863	udp/65407	udp/64916	udp/61936	udp/64916	udp/49005	udp/16395	tcp/1935	tcp/36200	udp/3702	udp/64916	tcp/49331	udp/64916
udp/16395	udp/63169	udp/1863	tcp/50516	udp/16394	udp/64974	udp/16394	tcp/1935	udp/41562	udp/3702	udp/8087	tcp/1935	udp/64916	udp/16395	tcp/548	udp/57123
tcp/548	udp/63764	udp/49005	udp/3702	tcp/1935	udp/62461	udp/16395	udp/1864	udp/16395	udp/57439	tcp/53366	udp/57559	udp/60346	udp/65250	udp/16395	udp/57322
udp/64916	udp/16395	udp/16395	tcp/57097	tcp/44186	tcp/13389	tcp/60434	udp/16402	tcp/50942	udp/1863	udp/1863	udp/59496	udp/16395	udp/63616	udp/61341	udp/16395
udp/52745	tcp/55324	udp/8087	udp/62347	udp/55399	udp/16394	tcp/62284	udp/16395	udp/64916	udp/59873	udp/61610	udp/35282	udp/5093	udp/62677	udp/5093	tcp/61405
udp/40905	udp/16394	tcp/36508	udp/64916	tcp/50038	udp/16395	udp/63791	udp/64974	udp/51457	udp/43677	udp/7273	udp/16402	udp/55873	udp/51830	udp/51413	udp/58149
udp/50463	udp/62279	udp/63142	udp/16395	tcp/44888	udp/62744	udp/50390	udp/62094	udp/1863	udp/16297	udp/65027	udp/16394	tcp/548	tcp/55672	udp/51148	udp/33390
udp/16402	udp/64210	tcp/39488	udp/59207	tcp/52954	tcp/5061	udp/40704	udp/64103	udp/54886	udp/49005	tcp/58441	udp/49005	udp/55175	udp/63946	udp/1863	tcp/548
tcp/20014	udp/61710	tcp/548	udp/18222	udp/3702	udp/55959	udp/52149	udp/40559	udp/16402	tcp/5061	udp/42776	udp/11239	udp/49005	udp/64300	udp/50974	tcp/5061
udp/9304	udp/16402	udp/21806	udp/43076	tcp/548	tcp/1935	tcp/13389	tcp/64402	tcp/40110	udp/55018	udp/5093	tcp/5061	udp/62279	udp/64595	udp/16394	tcp/9000
