Days Identical_ness_day0 Identical_ness_pre Set_similarity_day0 Set_similarity_pre Absolute_rank_diff_day0 Absolute_rank_diff_pre Relative_rank_diff_day0 Relative_rank_diff_pre
2019-11-30 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
2019-12-01 0.15 0.15 0.45 0.45 0.60 0.60 0.08 0.08
2019-12-02 0.15 0.25 0.55 0.50 1.15 0.50 0.12 0.08
2019-12-03 0.15 0.30 0.45 0.55 0.95 1.00 0.12 0.10
2019-12-04 0.05 0.10 0.55 0.40 1.95 0.85 0.27 0.12
2019-12-05 0.05 0.10 0.55 0.55 1.50 1.35 0.22 0.15
2019-12-06 0.25 0.05 0.45 0.55 0.65 1.15 0.08 0.15
2019-12-07 0.15 0.20 0.55 0.50 0.85 0.55 0.10 0.09
2019-12-08 0.15 0.10 0.50 0.55 0.60 1.30 0.08 0.14
2019-12-09 0.20 0.30 0.55 0.55 1.05 1.05 0.13 0.08
2019-12-10 0.05 0.05 0.55 0.55 1.05 1.10 0.20 0.25
2019-12-11 0.20 0.00 0.50 0.55 0.70 1.65 0.07 0.25
2019-12-12 0.25 0.10 0.55 0.55 0.70 1.00 0.09 0.14
2019-12-13 0.10 0.00 0.45 0.50 0.60 1.05 0.14 0.20
2019-12-14 0.10 0.25 0.50 0.60 0.55 1.20 0.13 0.16
2019-12-15 0.05 0.10 0.50 0.55 1.05 1.55 0.20 0.18
