Days 2019-11-30 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
tcp/443 1 1 1 1 1 1 1 1 1 1 2 1 1 2 2 2
tcp/80 2 2 2 2 3 4 2 2 2 2 1 2 2 1 1 1
tcp/22 8 3 4 4 2 3 4 7 4 4 9 5 8 4 8 3
udp/16393 3 4 3 3 4 2 3 4 3 3 5 3 4 3 3 5
tcp/52830 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
tcp/10443 4 5 5 5 5 5 6 6 5 5 3 4 3 5 5 4
udp/3283 5 6 6 6 7 6 5 5 6 6 4 6 5 6 4 6
udp/1900 6 0 0 0 8 7 0 0 0 9 8 0 0 0 0 0
tcp/42688 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0
udp/64916 14 0 8 16 10 11 8 11 15 8 6 9 12 11 10 11
tcp/18233 0 0 0 10 0 8 0 0 0 7 0 0 6 0 0 0
udp/3702 7 7 9 13 19 9 7 8 10 12 7 8 11 8 6 8
udp/58541 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0
tcp/51342 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0
tcp/35288 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
udp/1863 0 9 12 11 0 0 9 10 17 14 14 7 0 9 18 7
udp/13647 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0
tcp/51413 0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 0
udp/59040 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
udp/7273 0 0 0 8 0 0 0 0 0 0 16 0 0 0 0 0
udp/64409 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
udp/56954 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
udp/49005 0 10 13 9 0 0 0 0 11 18 0 18 19 0 0 9
udp/1194 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0
tcp/38094 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0
tcp/56966 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
udp/63384 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0
udp/49181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0
tcp/1935 10 0 11 0 13 20 0 12 0 10 11 12 10 0 0 0
tcp/37860 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0
tcp/55381 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0
tcp/57160 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0
tcp/548 13 0 19 0 20 0 0 0 0 0 10 0 17 0 12 18
udp/5093 0 0 0 0 0 0 0 0 0 0 20 10 15 10 15 0
