Days Identical_ness_day0 Identical_ness_pre Set_similarity_day0 Set_similarity_pre Absolute_rank_diff_day0 Absolute_rank_diff_pre Relative_rank_diff_day0 Relative_rank_diff_pre
2019-11-30 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
2019-12-01 0.15 0.15 0.90 0.90 1.50 1.50 0.20 0.20
2019-12-02 0.10 0.20 0.85 0.90 1.60 1.35 0.29 0.19
2019-12-03 0.10 0.35 0.90 0.95 3.15 2.10 0.46 0.21
2019-12-04 0.10 0.15 0.85 0.95 2.20 2.70 0.25 0.33
2019-12-05 0.10 0.25 0.80 0.90 2.20 1.20 0.27 0.12
2019-12-06 0.25 0.30 0.80 0.90 1.75 1.20 0.20 0.14
2019-12-07 0.15 0.50 0.80 0.85 1.55 0.80 0.17 0.06
2019-12-08 0.20 0.20 0.80 0.95 1.70 1.30 0.21 0.13
2019-12-09 0.10 0.10 0.85 0.90 1.80 1.50 0.21 0.18
2019-12-10 0.15 0.40 0.90 0.95 2.30 0.85 0.26 0.08
2019-12-11 0.25 0.15 0.90 0.95 2.05 2.00 0.20 0.24
2019-12-12 0.20 0.15 0.90 0.95 2.30 2.05 0.25 0.25
2019-12-13 0.10 0.10 0.80 0.90 2.05 2.60 0.36 0.31
2019-12-14 0.15 0.15 0.80 0.95 2.05 1.45 0.27 0.22
2019-12-15 0.25 0.10 0.90 0.90 2.05 1.55 0.22 0.30
