Days 2019-11-30 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
icmp/0 1 1 2 2 1 1 1 1 1 1 1 1 1 2 1 1
tcp/443 4 2 1 1 2 2 3 3 3 2 2 4 3 3 4 3
tcp/5060 10 16 15 13 18 17 18 0 0 16 18 19 20 1 2 8
tcp/80 2 3 3 3 3 3 2 2 2 3 3 2 2 4 3 2
udp/3283 3 4 6 6 4 5 5 5 6 4 4 3 7 10 8 6
tcp/22 7 5 4 4 5 4 4 4 4 5 5 5 4 7 5 7
udp/3702 6 8 8 15 9 9 7 7 13 7 6 7 6 5 7 4
udp/53 5 6 5 5 6 6 6 6 5 6 7 6 5 6 6 5
udp/1900 8 7 7 17 0 0 0 0 0 0 0 18 0 0 0 0
udp/1194 11 9 12 7 14 16 16 14 12 0 16 10 17 13 19 18
tcp/25 15 14 16 12 7 10 15 16 15 15 13 17 9 8 10 10
tcp/13389 14 10 11 10 8 7 8 8 7 8 10 13 12 18 16 17
udp/6881 12 11 10 8 11 12 10 13 11 9 9 11 10 11 11 9
tcp/21 9 12 13 16 10 8 9 10 8 10 12 9 8 9 9 12
udp/123 13 13 14 11 12 15 11 11 9 11 8 12 11 14 12 11
tcp/5900 17 17 17 14 15 13 13 12 14 13 14 8 16 16 15 13
tcp/8008 0 19 9 9 16 11 14 9 10 12 11 14 13 12 13 14
tcp/9999 0 18 19 18 13 14 12 15 16 14 15 15 15 19 17 15
udp/8621 18 20 0 0 0 0 0 0 0 17 17 16 14 15 14 16
udp/51413 16 15 0 20 20 0 0 20 18 20 20 0 19 0 0 20
udp/5353 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0
tcp/587 0 0 18 0 0 0 17 0 0 0 0 0 0 0 0 0
tcp/4192 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0
tcp/33333 0 0 0 0 0 18 0 0 17 19 0 0 0 0 0 0
tcp/51413 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0
tcp/8791 0 0 0 0 0 0 0 18 19 0 0 0 0 0 0 0
tcp/53 19 0 20 19 19 20 19 19 20 18 19 20 18 0 0 19
udp/10001 0 0 0 0 0 0 0 0 0 0 0 0 0 20 18 0
tcp/4899 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0
tcp/2020 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tcp/24999 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0
tcp/110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0
