2019-11-30	2019-12-01	2019-12-02	2019-12-03	2019-12-04	2019-12-05	2019-12-06	2019-12-07	2019-12-08	2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443	tcp/443
tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80	tcp/80
udp/443	udp/443	udp/443	tcp/993	tcp/993	tcp/993	tcp/993	tcp/11100	tcp/993	tcp/22	tcp/993	tcp/993	tcp/993	tcp/993	tcp/993	tcp/993
tcp/22	udp/16393	tcp/993	udp/443	udp/443	tcp/22	udp/16393	udp/16393	udp/16393	tcp/993	tcp/22	tcp/22	udp/16393	tcp/22	udp/16393	udp/16393
udp/16393	tcp/873	udp/16393	udp/16393	udp/16393	udp/443	udp/443	tcp/993	udp/443	udp/443	udp/80	udp/53	udp/443	udp/16393	tcp/22	tcp/873
udp/3478	tcp/993	tcp/22	tcp/22	tcp/22	udp/16393	tcp/873	udp/443	udp/4500	udp/16393	udp/443	tcp/8080	tcp/873	tcp/873	udp/443	udp/443
tcp/993	tcp/22	tcp/18233	udp/4500	udp/4500	udp/4500	tcp/22	tcp/22	udp/3478	udp/33001	udp/16393	udp/16393	tcp/22	udp/443	tcp/8080	udp/4500
udp/80	tcp/8080	tcp/873	udp/3478	udp/8080	tcp/873	udp/8080	udp/3478	tcp/22	udp/3478	tcp/8080	udp/4500	udp/8080	udp/4500	tcp/1935	udp/44700
tcp/8080	tcp/25461	udp/4500	tcp/995	udp/3478	udp/3478	udp/4500	tcp/873	tcp/32400	tcp/8080	udp/3478	udp/443	udp/4500	udp/8080	udp/3478	udp/3478
udp/52088	udp/1194	udp/36653	tcp/11100	udp/22	udp/8801	tcp/25752	udp/8080	udp/8080	tcp/1935	udp/4500	udp/8080	tcp/8080	udp/3480	udp/8080	tcp/1935
udp/8080	udp/8080	udp/3478	udp/8801	tcp/1935	tcp/8080	udp/3478	tcp/1935	tcp/8080	tcp/22222	tcp/995	udp/3480	udp/3478	udp/3478	udp/4500	tcp/8080
udp/44700	udp/4500	tcp/8080	udp/8080	udp/8801	tcp/5223	tcp/8080	udp/4500	udp/1194	udp/4500	udp/8080	udp/8801	udp/15520	tcp/8080	tcp/22222	udp/8080
tcp/1935	udp/3478	tcp/5223	tcp/8080	tcp/5223	tcp/995	udp/8801	udp/3480	udp/3480	udp/8801	udp/1194	tcp/873	udp/8801	udp/18323	udp/3480	udp/40003
tcp/25461	udp/24784	udp/8801	udp/55980	tcp/8080	tcp/1935	tcp/5223	tcp/44445	udp/40003	udp/46754	udp/8801	tcp/1935	tcp/4287	tcp/25461	udp/40003	udp/15520
tcp/873	udp/8004	tcp/44445	tcp/5223	udp/1194	udp/16395	tcp/995	tcp/8080	udp/46754	udp/8080	tcp/1935	udp/3478	tcp/1935	udp/1194	tcp/44445	tcp/563
udp/3480	udp/54481	udp/8080	udp/44520	tcp/995	udp/8080	udp/80	tcp/22222	udp/16395	udp/553	tcp/44445	udp/16395	tcp/995	udp/8801	tcp/873	udp/53
udp/16395	tcp/1935	udp/53	tcp/44445	udp/3480	udp/25559	tcp/22222	udp/1194	tcp/5223	udp/1194	tcp/5223	udp/15520	udp/16395	udp/15520	udp/32716	udp/1194
udp/16285	udp/3480	tcp/587	udp/3480	udp/53	tcp/11100	udp/27066	udp/16395	udp/80	udp/55021	tcp/143	tcp/5223	tcp/5223	tcp/5223	tcp/5223	udp/57147
udp/4500	udp/20419	udp/1194	tcp/63170	tcp/11100	udp/53	udp/16285	udp/40003	udp/55256	tcp/5223	udp/3480	tcp/995	udp/3480	udp/80	udp/16395	udp/2690
udp/40003	udp/40003	udp/3480	udp/44700	udp/80	udp/22	udp/1194	tcp/5223	udp/16285	tcp/995	udp/44143	tcp/34474	udp/40003	udp/16285	udp/80	tcp/5223
