Days Identical_ness_day0 Identical_ness_pre Set_similarity_day0 Set_similarity_pre Absolute_rank_diff_day0 Absolute_rank_diff_pre Relative_rank_diff_day0 Relative_rank_diff_pre
2019-11-30 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
2019-12-01 0.45 0.45 0.90 0.90 1.10 1.10 0.08 0.08
2019-12-02 0.10 0.10 0.85 0.80 1.70 1.40 0.18 0.17
2019-12-03 0.05 0.60 0.85 0.90 2.20 0.60 0.23 0.05
2019-12-04 0.15 0.45 0.85 0.90 2.00 0.60 0.22 0.06
2019-12-05 0.15 0.70 0.85 0.95 1.75 0.30 0.21 0.02
2019-12-06 0.15 0.65 0.85 0.90 1.50 0.30 0.16 0.06
2019-12-07 0.30 0.40 0.85 0.90 1.80 1.35 0.17 0.10
2019-12-08 0.30 0.60 0.85 1.00 1.45 0.70 0.14 0.05
2019-12-09 0.25 0.45 0.85 0.85 1.75 0.50 0.17 0.05
2019-12-10 0.35 0.55 0.85 0.95 1.20 0.70 0.12 0.06
2019-12-11 0.30 0.45 0.90 0.90 1.45 0.95 0.14 0.07
2019-12-12 0.30 0.45 0.90 1.00 1.20 0.90 0.13 0.09
2019-12-13 0.25 0.60 0.90 1.00 1.45 0.70 0.15 0.07
2019-12-14 0.20 0.40 0.90 0.95 1.15 0.80 0.13 0.08
2019-12-15 0.25 0.60 0.90 0.95 1.05 0.40 0.13 0.03
