Days 2019-11-30 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
tcp/443 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
udp/53 2 2 3 3 3 3 2 2 2 2 2 2 2 2 2 2
tcp/80 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 3
udp/443 4 4 4 5 7 7 7 7 7 7 7 7 8 7 8 8
tcp/993 6 6 5 4 4 4 4 4 4 4 4 4 4 4 5 5
udp/123 5 5 7 7 6 6 6 5 5 6 5 5 5 5 4 4
tcp/5223 7 7 6 6 5 5 5 6 6 5 6 6 7 6 6 7
tcp/25 0 0 0 0 0 0 0 0 0 0 0 11 6 9 9 9
udp/8888 8 8 9 9 8 8 9 8 8 8 8 8 9 8 7 6
tcp/5228 9 9 8 8 9 9 8 9 9 9 9 9 10 10 10 10
tcp/8080 10 11 12 11 11 11 11 13 11 11 11 12 11 12 11 11
tcp/8081 12 10 17 20 17 16 16 16 16 15 15 16 15 15 13 13
tcp/5222 15 14 10 10 10 10 10 10 12 10 10 13 12 11 14 14
tcp/5938 0 0 0 0 0 0 17 11 10 0 0 0 0 0 0 0
tcp/53 14 16 19 19 18 18 0 17 18 19 14 10 14 17 17 15
icmp/0 11 12 13 13 13 12 12 15 13 13 12 14 13 13 12 12
tcp/8787 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0
udp/3478 16 13 14 12 12 13 13 14 14 12 13 17 17 14 15 16
udp/19302 20 15 18 14 15 17 19 12 15 14 17 18 18 18 16 17
tcp/9010 13 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tcp/5224 18 0 15 15 14 14 14 0 0 17 16 15 16 16 18 19
tcp/4070 0 0 16 16 16 15 15 19 17 18 18 20 20 20 0 0
tcp/8443 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0
udp/10000 17 19 0 0 0 0 18 18 19 0 0 19 19 19 19 20
tcp/8000 0 17 0 0 19 0 0 0 0 0 0 0 0 0 0 0
udp/30120 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0
tcp/143 0 0 0 18 0 19 0 0 0 20 19 0 0 0 0 0
udp/2303 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18
tcp/444 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tcp/8082 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0
udp/16384 0 0 20 0 20 20 20 0 0 0 0 0 0 0 0 0
udp/7 0 0 0 0 0 0 0 20 20 0 0 0 0 0 0 0
udp/4500 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0
tcp/3389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0
