2019-11-30	2019-12-01	2019-12-02	2019-12-03	2019-12-04	2019-12-05	2019-12-06	2019-12-07	2019-12-08	2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	tcp/136.159.73.99/4899/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0	udp/136.159.222.2/53/S0
udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	tcp/136.159.73.99/21/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0	udp/136.159.222.10/53/S0
tcp/136.159.213.240/9010/S0	tcp/136.159.213.252/9010/S0	tcp/136.159.118.213/4001/S0	tcp/136.159.160.125/443/RSTOS0	tcp/136.159.118.227/4001/S0	tcp/136.159.118.227/4001/S0	tcp/136.159.118.227/4001/S0	tcp/198.161.243.253/443/RSTOS0	tcp/136.159.160.80/443/RSTOS0	tcp/136.159.160.124/443/RSTOS0	tcp/136.159.160.121/443/RSTOS0	tcp/136.159.73.99/80/S0	udp/198.161.243.12/53/S0	udp/198.161.243.12/53/S0	udp/198.161.243.12/53/S0	tcp/136.159.213.14/9010/S0
udp/136.159.16.20/1/S0	tcp/136.159.160.79/443/RSTOS0	tcp/136.159.160.123/443/RSTOS0	tcp/136.159.160.122/443/RSTOS0	tcp/136.159.160.121/443/RSTOS0	tcp/136.159.160.125/443/RSTOS0	tcp/136.159.160.126/443/RSTOS0	tcp/198.161.243.252/443/RSTOS0	tcp/136.159.160.79/443/RSTOS0	tcp/136.159.160.126/443/RSTOS0	tcp/136.159.160.124/443/RSTOS0	udp/136.159.222.2/53/S0	tcp/136.159.118.250/4001/S0	tcp/198.161.243.12/25/S0	tcp/198.161.243.12/25/S0	tcp/136.159.213.63/4001/S0
udp/136.159.2.16/53/S0	tcp/136.159.160.80/443/RSTOS0	tcp/136.159.160.122/443/RSTOS0	tcp/136.159.160.124/443/RSTOS0	tcp/136.159.160.124/443/RSTOS0	tcp/136.159.160.124/443/RSTOS0	tcp/136.159.160.121/443/RSTOS0	tcp/136.159.213.217/9010/S0	udp/136.159.2.16/53/S0	tcp/136.159.160.121/443/RSTOS0	tcp/136.159.160.122/443/RSTOS0	udp/136.159.222.10/53/S0	tcp/198.161.243.12/25/S0	tcp/136.159.118.250/4001/S0	tcp/136.159.213.63/4001/S0	udp/136.159.2.16/53/S0
udp/136.159.125.37/6881/S0	udp/136.159.16.20/1/S0	tcp/136.159.160.125/443/RSTOS0	tcp/136.159.160.121/443/RSTOS0	tcp/136.159.160.125/443/RSTOS0	tcp/136.159.160.123/443/RSTOS0	tcp/136.159.160.125/443/RSTOS0	tcp/136.159.160.80/443/RSTOS0	tcp/198.161.243.248/443/RSTOS0	tcp/136.159.160.125/443/RSTOS0	tcp/136.159.160.126/443/RSTOS0	tcp/136.159.118.250/4001/S0	udp/136.159.2.16/53/S0	udp/136.159.2.16/53/S0	udp/136.159.2.16/53/S0	udp/198.161.243.12/53/S0
udp/136.159.73.201/8888/S0	tcp/136.159.160.132/443/RSTOS0	tcp/136.159.160.124/443/RSTOS0	tcp/136.159.160.126/443/RSTOS0	tcp/136.159.160.122/443/RSTOS0	tcp/136.159.160.121/443/RSTOS0	tcp/136.159.160.123/443/RSTOS0	tcp/198.161.243.250/443/RSTOS0	tcp/136.159.160.70/443/RSTOS0	tcp/136.159.160.123/443/RSTOS0	tcp/136.159.160.125/443/RSTOS0	tcp/136.159.160.121/443/RSTOS0	tcp/136.159.160.121/443/RSTOS0	tcp/136.159.160.124/443/RSTOS0	tcp/136.159.213.244/9010/S0	udp/136.159.213.216/10999/S0
udp/136.159.167.144/8888/S0	udp/136.159.2.16/53/S0	tcp/136.159.160.121/443/RSTOS0	tcp/136.159.160.123/443/RSTOS0	tcp/136.159.160.123/443/RSTOS0	tcp/136.159.160.126/443/RSTOS0	tcp/136.159.160.122/443/RSTOS0	tcp/136.159.160.79/443/RSTOS0	tcp/136.159.213.105/443/RSTOS0	tcp/136.159.160.122/443/RSTOS0	tcp/136.159.160.123/443/RSTOS0	udp/136.159.2.16/53/S0	tcp/136.159.160.126/443/RSTOS0	tcp/136.159.160.121/443/RSTOS0	udp/136.159.167.144/8888/S0	udp/136.159.213.127/2303/S0
udp/198.161.243.12/53/S0	tcp/136.159.160.124/443/RSTOS0	tcp/136.159.160.126/443/RSTOS0	tcp/136.159.160.127/443/RSTOS0	tcp/136.159.160.126/443/RSTOS0	tcp/136.159.160.122/443/RSTOS0	tcp/136.159.160.127/443/RSTOS0	tcp/198.161.243.249/443/RSTOS0	tcp/136.159.213.31/443/RSTOS0	tcp/136.159.160.127/443/RSTOS0	tcp/136.159.160.127/443/RSTOS0	tcp/136.159.160.126/443/RSTOS0	tcp/136.159.160.125/443/RSTOS0	tcp/136.159.160.124/443/S0	udp/136.159.73.201/8888/S0	udp/136.159.73.201/8888/S0
udp/136.159.160.57/8888/S0	tcp/136.159.213.251/443/RSTOS0	tcp/136.159.160.127/443/RSTOS0	tcp/136.159.160.124/443/S0	tcp/136.159.160.127/443/RSTOS0	tcp/136.159.160.127/443/RSTOS0	tcp/136.159.160.124/443/RSTOS0	tcp/198.161.243.254/443/RSTOS0	tcp/136.159.213.42/443/RSTOS0	tcp/136.159.213.106/9010/S0	tcp/136.159.118.250/4001/S0	tcp/136.159.213.242/9010/S0	tcp/136.159.160.124/443/RSTOS0	tcp/136.159.160.126/443/RSTOS0	udp/136.159.160.57/8888/S0	udp/136.159.167.144/8888/S0
