2019-12-01	2019-12-02	2019-12-03	2019-12-04	2019-12-05	2019-12-06	2019-12-07	2019-12-08	2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
80	80	26	26	26	8545	5555	5555	8545	80	3389	21	3389	80	8545
8545	8545	80	8545	8545	80	8545	8545	5555	3389	8545	80	8545	8545	80
21	26	8545	80	80	22	21	80	80	8545	80	3389	80	3389	3389
26	21	22	21	3389	3389	3389	3389	3389	22	445	8545	8080	22	8080
22	3389	8080	8080	22	8080	80	8080	22	8080	8080	8080	443	8080	21
8080	8080	3389	3389	8080	26	22	22	8080	445	22	22	22	5555	22
3389	445	21	22	445	445	8080	445	445	5555	5555	445	445	443	445
445	22	445	445	5555	21	445	21	1433	21	21	5555	5555	445	5555
5555	5555	9000	5555	9000	5555	26	1433	443	443	1433	443	81	81	81
9000	443	5555	9000	9001	9000	1433	443	81	26	2323	1433	1433	1433	443
81	9000	9001	1433	21	2323	2323	26	2323	2323	443	81	2323	5038	5038
443	1433	443	9001	443	9001	9000	2323	9000	1433	3390	2323	5038	3390	1433
9001	9001	81	443	81	81	443	9000	26	3390	81	5038	21	21	2323
1433	81	1433	81	1433	443	9001	13389	8291	81	5038	26	3390	2323	3390
6379	2323	6379	6379	2323	1433	81	81	9001	9000	26	3306	5060	8291	9000
3391	3390	2323	3390	6379	5900	554	5900	1723	8291	9000	3390	3391	3391	8291
2323	5038	5038	2323	3390	3390	6379	9001	21	9001	3391	3391	26	9000	26
3306	6379	3306	5900	25	554	13389	3390	5900	1025	1723	9000	9000	3388	60001
3390	3391	25	1025	5900	12345	12345	3391	3390	6379	6379	1025	3306	8888	6379
3395	3306	5900	3391	3391	1723	1024	1723	12345	3391	3306	3388	1723	26	9200
3399	1723	3390	3395	993	3391	2223	6379	6379	3392	9200	6379	25	8081	3391
3393	3392	60001	3399	8291	2223	5038	8291	3306	3388	9001	8291	27017	3392	8081
8000	5900	3393	60001	554	1024	3390	1024	8081	3397	3388	3399	6379	5900	3392
5038	3399	9200	3388	9200	5038	5900	33389	5038	3399	25	5900	3388	3395	8088
60001	1025	3391	3394	9999	8181	8291	554	8728	3306	8081	25	8291	3399	25
8088	8291	13389	13389	1024	3399	27017	2223	3391	25	8291	27017	3392	8000	1080
3396	25	3394	33389	1723	25	9200	12345	554	5900	5900	3392	13389	3394	53
3392	3395	3395	3398	60001	6379	25	8181	9200	3395	3392	3393	9200	60001	11211
5900	3393	3399	8888	3392	3388	3306	5038	2222	3394	8888	3394	3393	9999	5900
3398	3398	5000	3396	2223	8291	60001	25	1024	5038	8443	8888	3399	3397	8000
3394	60001	3392	993	5038	9200	993	8088	2223	3398	993	9200	53	3393	7001
8291	8888	993	3306	8888	3392	3387	3388	993	3387	60001	2222	993	1025	993
3397	3397	3388	3393	3306	8000	5901	3394	60001	3396	3399	13389	3394	3398	5432
8888	3394	53	23389	12345	3306	3393	3392	8088	2222	2222	3386	5900	3396	5060
8081	9200	88	53389	7001	27017	3391	3128	25	7777	1024	3387	3396	8728	3388
587	8081	33389	27017	587	60001	8088	60001	65529	9999	7001	993	3395	6379	3000
3380	6000	3397	8291	2222	5901	3388	8081	27017	3393	9999	8000	9999	7777	9090
3384	3388	8888	3392	3393	3394	8888	3398	3388	33389	3393	33389	3398	1723	2222
25	3396	65529	3400	3394	389	3380	3306	53	12345	33389	3380	5000	88	88
13389	8000	1080	3397	3128	3393	3392	3399	389	554	12345	3385	60001	25	465
3400	8088	8000	8000	8443	7001	3397	587	3392	993	3396	3382	33389	3306	8728
33389	8181	6000	9090	465	3398	88	3395	8000	4000	33890	3398	8888	8443	7777
7777	873	2222	33891	3399	8090	3382	33890	8181	27017	8000	3397	33892	3333	3395
3385	23389	3396	43389	8088	33389	3399	8000	8089	60001	27017	3395	2222	8088	9001
3382	2222	8443	33890	3395	3395	3398	465	88	8000	3397	3381	8000	6000	3306
4444	587	389	3128	8000	8728	3396	65529	465	8728	8181	9001	110	2222	8443
3381	27017	3398	11211	3388	3396	3385	23389	2375	8888	8728	4444	33890	13389	6666
1723	3333	8088	5901	27017	3397	8443	3393	8099	3400	554	3383	33893	3385	27017
8443	8443	3000	9200	3396	993	3386	8888	8888	3386	88	3384	8443	43389	6002
53	13389	3383	5038	3397	8888	2222	389	33389	13389	3395	60001	10000	23389	3399
3387	7777	3385	9999	9090	3387	65529	27017	8090	1024	3128	3396	3397	9200	3396
9200	465	3128	5984	8090	1025	1723	1080	1080	9200	9090	587	33899	53389	3397
2222	33890	3386	25	3400	13389	8081	6666	7001	8081	13389	1080	53389	33389	8001
3383	33389	5903	139	3398	11211	8000	3397	9090	53	3398	4000	33891	3387	3380
3388	3400	3333	33893	4444	8088	3395	53389	11211	6666	23389	12345	33898	5432	3393
3128	5000	8081	3380	623	3386	3394	3333	8443	3384	5984	3000	4444	3386	110
6000	8089	5901	33899	389	33891	389	3396	3128	3380	3394	9999	389	10000	3398
88	993	3387	8081	7777	8983	3384	3387	8093	3333	102	8081	5901	5984	8090
993	33899	587	63389	3386	53	3381	33891	5902	88	7777	465	33896	33890	3394
3386	9999	27017	65529	6666	8081	7001	2222	7777	3383	3383	53	65529	3384	3128
3370	53389	5222	10000	11211	82	3383	6000	8092	3385	1080	7777	3333	4000	143
23389	3401	10001	3381	8081	1080	110	993	33891	3128	587	143	587	9001	2375
389	8728	10000	8088	88	8443	8728	9200	10000	3382	2223	20000	3400	3383	8888
3378	3403	3400	5000	8728	3381	33899	2020	3399	1111	33899	3333	33894	63389	3300
6666	11211	5902	33892	6000	3400	33890	7777	3000	465	3384	995	12345	4444	3385
9999	7000	3384	50000	143	23389	3128	3400	49011	33891	2082	8728	33897	1024	6000
110	50000	2002	8443	5000	9090	82	53	8094	102	33891	1111	3381	8090	873
6380	3000	8291	6666	3333	3380	9090	33899	3385	9090	3380	5222	33895	7001	6010
7001	5984	5001	6000	995	3385	33893	5984	5060	4444	53389	6666	8728	1080	8002
3377	10022	3371	3333	6380	3383	5904	43389	8098	110	4567	1723	63389	55555	9080
1080	3386	3369	3405	1080	3384	2002	8728	143	3381	5000	33892	7777	33899	33891
8728	88	3310	3382	11111	3382	465	33390	5901	111	3385	7001	7001	5000	4000
8090	7001	3380	2222	5984	9999	587	11211	13389	143	63389	5000	3385	33894	1723
5432	6380	9999	389	3377	1521	1720	9999	3397	5000	1111	3400	3382	10001	3386
53389	3128	7001	587	13389	6380	5903	5432	102	2223	5601	88	10001	6666	4567
3376	6001	3370	7001	3387	111	5902	8443	3386	587	3382	37777	3384	33891	7002
63389	4444	5060	4444	37777	1982	11211	1111	3380	11211	8088	110	23389	53	587
5060	9990	9090	5060	5901	3128	5905	4848	3387	2001	9080	11211	3386	993	3379
10000	53	3489	3379	3366	110	3379	9090	33333	53389	2000	389	3387	11111	3384
143	55555	23389	7389	33333	465	102	1025	63389	7001	3381	8443	5005	3382	8010
33899	9090	3377	3401	5432	3333	143	4444	8095	1080	33893	554	3383	33333	389
3371	33898	4040	1723	110	2222	2000	33892	8097	135	6000	33890	9001	5901	4899
111	33893	4444	10001	3383	143	4000	6380	4786	10000	33889	33893	4321	13390	33333
3351	4000	4000	111	3381	33899	502	8090	8096	33896	4443	3128	10021	1111	8082
22222	389	4500	5389	8118	50802	1080	7001	6380	3000	6666	5060	8081	33892	82
2375	3790	33890	8728	3401	35492	5432	33889	1521	1723	2002	4786	20000	27017	33897
1111	5060	5389	22222	3382	85	3400	63389	5000	33892	2001	9090	4004	4786	34567
43389	33894	1723	88	3355	4786	3370	4899	3398	33893	3387	2000	10025	3400	6007
33890	10000	110	3408	55555	63389	50070	8800	37777	33890	53	5432	7000	3000	33389
3372	33891	6380	7777	53	1234	33892	4786	3395	9002	3333	33390	9833	4321	1900
33896	33895	11211	3409	63389	873	3333	3000	1634	43389	995	4400	88	3381	3382
465	119	4490	7000	3384	83	123	3402	5432	6000	389	2083	43389	33390	55555
33333	8086	82	1080	3380	1110	111	3401	5906	389	5060	7547	6666	7002	3377
1234	3387	3372	8883	33891	995	2001	3377	2121	44818	33896	65529	3000	13399	3333
82	3385	7002	9876	10000	88	5502	3373	3333	37777	135	82	3380	50000	8500
3500	1111	9998	3387	444	51224	9009	3383	111	55555	139	33891	4000	3128	888
33390	6666	7000	3003	2375	587	3375	3381	55555	82	4444	33391	10010	888	54321
9033	33896	4489	3406	1177	1604	4444	50000	3353	4001	465	2082	123	7000	1024
4786	7002	3368	7547	43389	7547	50075	37777	20000	85	110	33899	10030	6001	3383
