Days Identical_ness_day0 Identical_ness_pre Set_similarity_day0 Set_similarity_pre Absolute_rank_diff_day0 Absolute_rank_diff_pre Relative_rank_diff_day0 Relative_rank_diff_pre
2019-12-01 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
2019-12-02 0.09 0.09 0.71 0.71 7.26 7.26 0.17 0.17
2019-12-03 0.06 0.04 0.73 0.72 8.01 8.88 0.22 0.22
2019-12-04 0.08 0.08 0.72 0.71 9.52 9.33 0.23 0.24
2019-12-05 0.08 0.05 0.77 0.73 10.79 11.25 0.29 0.26
2019-12-06 0.05 0.06 0.75 0.78 9.70 9.57 0.27 0.25
2019-12-07 0.04 0.04 0.70 0.75 8.38 8.14 0.26 0.22
2019-12-08 0.02 0.06 0.75 0.69 10.11 8.11 0.29 0.20
2019-12-09 0.05 0.07 0.66 0.69 10.45 8.64 0.33 0.23
2019-12-10 0.04 0.03 0.76 0.70 8.15 10.99 0.23 0.31
2019-12-11 0.03 0.08 0.75 0.82 11.71 9.62 0.34 0.23
2019-12-12 0.03 0.04 0.76 0.80 8.38 12.02 0.26 0.29
2019-12-13 0.04 0.07 0.73 0.78 12.04 12.32 0.38 0.31
2019-12-14 0.05 0.06 0.77 0.79 9.69 11.75 0.31 0.29
2019-12-15 0.02 0.05 0.71 0.70 12.51 11.05 0.36 0.27
