Days 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
23 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
80 2 2 3 4 4 3 6 4 4 2 4 3 4 2 3
26 5 4 2 2 2 7 10 12 14 11 16 15 18 21 18
8545 3 3 4 3 3 2 3 3 2 4 3 5 3 3 2
5555 10 10 11 10 9 10 2 2 3 8 8 9 9 7 9
3389 8 6 7 7 5 5 5 5 5 3 2 4 2 4 4
21 4 5 8 5 12 9 4 9 18 9 9 2 14 14 6
22 6 9 5 8 6 4 7 7 6 5 7 7 7 5 7
445 9 8 9 9 8 8 9 8 8 7 5 8 8 9 8
8080 7 7 6 6 7 6 8 6 7 6 6 6 5 6 5
443 13 11 13 14 13 15 14 11 10 10 12 10 6 8 11
1433 15 13 15 12 15 16 11 10 9 13 10 11 11 11 13
9000 11 12 10 11 10 11 13 14 13 16 17 19 19 18 16
81 12 15 14 15 14 14 16 16 11 15 14 12 10 10 10
9001 14 14 12 13 11 13 15 18 16 18 23 47 83 63 45
2323 18 16 17 18 16 12 12 13 12 12 11 13 12 15 14
5038 25 18 18 51 32 25 23 30 25 31 15 14 13 12 12
3390 20 17 22 17 18 18 24 19 20 14 13 17 15 13 15
13389 41 51 27 27 76 54 19 15 74 51 54 34 28 48 0
8291 33 27 69 38 23 31 26 23 15 17 27 23 26 16 17
6379 16 19 16 16 17 29 18 22 22 20 20 22 24 37 20
3306 19 21 19 33 34 35 30 40 23 26 21 16 20 42 46
5060 79 88 78 79 0 0 0 0 70 0 94 86 16 0 35
3391 17 20 26 21 21 22 36 20 27 21 18 18 17 17 22
5900 30 24 21 19 20 17 25 17 19 28 28 25 35 24 30
554 0 0 0 0 24 19 17 26 28 41 49 82 0 0 0
1723 49 22 89 83 28 21 53 21 17 87 19 71 21 39 74
25 40 28 20 54 19 28 29 31 36 27 25 26 22 41 26
1025 0 26 0 20 0 53 0 81 0 19 0 20 0 33 0
3388 56 39 34 25 48 30 38 33 39 23 24 21 25 19 36
60001 26 32 23 24 29 37 31 37 34 45 33 51 41 29 19
12345 0 0 0 0 35 20 20 28 21 40 41 56 66 0 0
8888 35 33 39 30 33 51 39 50 50 48 30 31 43 20 64
3395 21 29 29 22 46 46 56 43 91 29 51 45 37 25 44
1024 0 0 0 0 27 24 21 24 31 52 36 0 0 67 99
9200 53 36 25 50 25 32 28 64 29 53 22 32 29 52 21
3399 22 25 30 23 44 27 45 41 65 25 34 24 31 26 51
993 60 59 33 32 22 50 32 63 33 42 32 37 33 79 33
2223 0 0 0 0 31 23 22 27 32 76 64 0 0 0 0
3392 29 23 32 39 30 33 41 35 42 22 29 28 27 23 24
8081 36 37 57 59 63 61 54 38 24 54 26 59 86 22 23
3393 23 30 24 34 39 41 35 49 0 38 39 29 30 32 56
27017 0 48 61 37 49 36 27 52 38 44 45 27 23 87 49
8000 24 41 42 42 47 34 55 45 43 46 44 38 46 27 31
3397 34 34 38 41 51 49 42 55 75 24 46 44 52 31 53
33389 43 55 37 28 0 45 0 25 51 39 40 39 42 54 90
8088 27 42 49 64 45 56 37 32 35 0 78 0 0 45 25
3394 32 35 28 26 40 39 57 34 0 30 58 30 34 28 60
9999 67 61 75 52 26 74 0 75 0 37 38 58 38 30 0
8181 0 43 0 0 0 26 0 29 44 0 47 0 0 0 0
8728 73 64 0 87 65 47 64 72 26 47 48 67 70 36 42
1080 72 0 41 94 72 63 86 53 53 82 62 54 0 70 27
3396 28 40 45 31 50 48 47 58 0 34 42 52 36 35 52
53 51 80 35 0 91 60 0 68 40 55 90 61 32 78 28
3398 31 31 48 29 55 43 46 39 89 32 55 43 39 34 58
11211 0 66 92 48 62 55 78 74 56 78 0 79 0 0 29
2222 54 46 44 74 38 83 51 61 30 35 35 33 45 47 39
5000 0 57 31 65 68 0 0 0 88 75 72 74 40 73 0
8443 50 50 46 68 42 64 49 77 57 0 31 81 50 43 47
7001 70 74 76 77 36 42 61 86 54 81 37 73 73 69 32
3387 52 95 59 97 77 52 33 59 79 33 89 36 80 55 0
5901 0 0 58 49 79 38 34 0 73 0 0 0 59 83 0
5432 75 0 0 0 82 0 87 76 93 0 0 90 0 56 34
23389 63 45 81 35 0 67 0 48 0 0 56 0 78 51 0
3386 61 72 54 0 60 57 50 0 77 50 0 35 79 57 75
88 59 73 36 89 64 96 43 0 46 60 50 76 92 40 40
53389 76 62 0 36 0 0 0 56 0 80 70 0 54 53 0
3128 57 76 53 47 41 79 67 36 58 63 52 85 0 97 61
7777 44 52 0 91 59 0 0 66 61 36 60 62 72 38 43
587 37 47 60 76 37 98 74 42 0 77 63 53 63 0 78
65529 0 0 40 61 0 0 52 47 37 0 0 95 61 0 0
3000 0 69 50 0 0 0 0 92 66 86 0 57 95 90 37
3380 38 0 74 57 94 69 40 0 78 58 69 40 96 0 55
6000 58 38 43 70 66 0 0 62 0 93 83 0 0 46 67
9090 0 82 79 43 52 68 69 80 55 69 53 88 0 0 38
3384 39 0 67 0 93 72 59 0 0 57 66 50 77 61 80
3400 42 56 65 40 54 66 88 67 0 49 0 75 64 89 0
389 64 86 47 75 58 40 58 51 41 94 93 80 58 0 82
3385 45 96 52 0 0 70 48 0 69 62 73 41 74 49 66
465 93 53 0 0 43 81 73 46 47 66 99 60 0 0 41
3382 46 0 0 73 88 73 44 0 0 64 77 42 75 81 92
4000 0 85 85 0 0 0 84 0 0 43 0 55 97 62 73
33890 90 54 87 46 0 0 66 44 0 90 43 83 48 60 0
873 0 44 0 0 0 92 0 0 0 0 0 0 0 0 68
33891 0 91 0 44 95 58 0 60 63 67 68 97 55 77 72
8090 74 0 0 0 53 44 0 85 52 0 0 0 0 68 59
33892 0 0 0 66 0 0 91 83 0 88 0 72 44 86 0
3333 0 49 56 71 69 82 92 57 96 59 91 65 62 44 95
43389 89 0 0 45 100 0 0 71 0 92 0 0 93 50 0
8089 0 58 0 0 0 0 0 0 45 0 0 0 0 0 0
3381 48 0 0 63 85 65 60 98 0 72 81 46 68 92 0
4444 47 78 84 78 56 0 99 82 0 70 98 48 57 66 0
110 68 0 90 0 83 80 63 0 0 71 100 78 47 0 57
2375 87 0 0 0 98 0 0 0 48 0 0 0 0 0 63
6666 66 98 0 69 61 0 0 54 0 56 86 70 94 76 48
8099 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0
3383 55 0 51 0 84 71 62 97 0 61 61 49 82 64 100
33893 0 84 0 56 0 0 70 0 0 89 82 84 49 0 0
6002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50
10000 80 90 64 62 96 0 0 0 64 84 0 0 51 58 0
5984 0 70 0 53 74 0 0 70 0 0 57 0 0 59 0
33899 82 60 0 58 0 85 65 69 0 0 65 100 53 72 0
8001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54
5903 0 0 55 0 0 0 76 0 0 0 0 0 0 0 0
139 0 0 0 55 0 0 0 0 0 0 97 0 0 0 0
33898 0 83 0 0 0 0 0 0 0 0 0 0 56 0 0
623 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0
8983 0 0 0 0 0 59 0 0 0 0 0 0 0 0 0
8093 0 0 0 0 0 0 0 0 59 0 0 0 0 0 0
102 0 0 0 0 0 0 81 0 76 68 59 0 0 0 0
63389 78 0 0 60 92 90 0 88 81 0 74 0 71 65 0
5902 0 0 66 0 0 0 77 0 60 0 0 0 0 0 0
33896 92 99 0 0 0 0 0 0 0 85 95 0 60 0 0
3370 62 0 77 0 0 0 89 0 0 0 0 0 0 0 0
5222 0 0 62 0 0 0 0 0 0 0 0 69 0 0 0
82 96 0 94 0 0 62 68 0 0 98 0 96 0 0 86
8092 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0
143 81 0 0 0 67 84 82 0 72 74 0 63 0 0 62
3401 0 63 0 82 87 0 0 94 0 0 0 0 0 0 0
10001 0 0 63 84 0 0 0 0 0 0 0 0 76 75 0
20000 0 0 0 0 0 0 0 0 100 0 0 64 87 0 0
3378 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3403 0 65 0 0 0 0 0 0 0 0 0 0 0 0 0
2020 0 0 0 0 0 0 0 65 0 0 0 0 0 0 0
1111 88 97 0 0 0 0 0 78 0 65 75 68 0 85 0
33894 0 89 0 0 0 0 0 0 0 0 0 0 65 74 0
3300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65
995 0 0 0 0 70 95 0 0 0 0 92 66 0 0 0
7000 0 67 98 93 0 0 0 0 0 0 0 0 90 99 0
50000 0 68 0 67 0 0 0 99 0 0 0 0 0 96 0
49011 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0
2082 0 0 0 0 0 0 0 0 0 0 67 99 0 0 0
33897 0 0 0 0 0 0 0 0 0 0 0 0 67 0 87
2002 0 0 68 0 0 0 72 0 0 0 87 0 0 0 0
8094 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0
6380 69 75 91 0 71 76 0 84 86 0 0 0 0 0 0
33895 0 92 0 0 0 0 0 0 0 0 0 0 69 0 0
6010 0 0 0 0 0 0 0 0 0 0 0 0 0 0 69
5001 0 0 70 0 0 0 0 0 0 0 0 0 0 0 0
8002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70
