2019-12-01	2019-12-02	2019-12-03	2019-12-04	2019-12-05	2019-12-06	2019-12-07	2019-12-08	2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
53	53	53	53	53	53	53	53	53	53	53	53	53	53	53
5060	5060	5060	5060	5060	5060	5060	5060	5060	5060	5060	5060	5060	5060	5060
123	123	123	123	123	123	123	123	123	123	123	1900	1900	123	1900
1900	1900	3283	3283	1900	3702	389	1900	3283	3283	1900	123	123	1900	123
3283	161	1900	1900	161	1900	1900	3702	389	1900	3702	3702	3702	389	389
11211	389	161	389	389	161	161	389	3702	3702	389	137	389	443	5683
161	3702	520	161	3702	443	137	161	161	161	161	5683	443	11211	3702
3702	137	389	24999	3283	24999	24999	24999	1900	6881	5683	161	5683	3702	11211
24999	3283	24999	3702	443	389	24997	137	19	389	24999	3283	137	137	3283
111	24999	3702	24997	19	5070	17	3283	5683	24999	3283	389	161	161	161
520	623	24997	53413	24999	11211	623	24997	24999	177	137	24999	11211	1434	19
24997	24997	10001	137	5683	24997	3283	19	443	24997	11211	6279	3283	177	111
1194	6881	5683	177	137	5080	1434	5353	24997	6279	24997	24997	24999	24999	1434
6881	11211	19	500	24997	137	5683	11211	6279	5683	5353	19	19	24997	24999
6279	5353	6279	6279	5353	3283	1194	5683	1194	17	6279	111	5353	19	24997
623	5683	137	5353	623	6881	6279	6279	137	137	623	443	24997	5683	1194
5353	6279	69	6881	6279	5683	3702	69	5070	1194	19	10001	6279	6279	137
389	19	17	1194	177	1434	10001	25000	11211	443	1194	47808	111	1194	5353
4500	1434	5093	11211	520	6279	25000	1194	500	19	10001	69	53413	3283	623
19	47808	1194	25000	47808	10001	5353	177	5353	10001	1434	1194	17	1701	6279
177	111	53413	19	111	19	111	623	69	69	5070	623	1434	5353	69
5351	177	1434	443	500	5066	11211	10001	25000	1434	69	5093	47808	6881	500
514	69	5353	47808	1194	5061	500	17	10001	5353	6881	1434	10001	1604	17
25000	17	25000	1434	17	1194	69	1434	623	25000	25000	27036	1194	10001	25000
17	1194	5351	623	1434	47808	5062	443	17	47808	500	11211	520	25000	27015
137	65476	6881	88	69	111	6881	5351	111	1604	5093	5353	623	27015	10001
69	10001	500	69	11211	25000	5093	514	1434	623	443	1701	69	623	53413
25061	25000	623	17	25000	5353	5094	5070	37810	514	5063	5632	25000	1025	7001
5683	500	11211	514	6881	5000	520	6881	520	500	111	177	5093	520	6881
5632	5093	111	6060	10001	623	19	49153	49153	111	5064	5062	6881	5093	27036
1434	514	32414	5683	80	500	5632	5093	17185	7777	5068	6881	5632	111	17185
443	2362	47808	10001	998	514	80	111	5160	27015	47808	25000	27015	514	47808
1157	5632	443	111	162	69	17185	500	5053	5351	5065	2362	5351	27036	27016
593	6525	80	1154	1026	2060	47808	67	5632	1719	520	500	500	80	1604
1088	1154	13647	5040	9	1604	1062	1719	6881	17185	5066	1026	523	47808	88
1154	5061	162	5038	138	5020	5351	13	648	1088	27016	1029	30718	500	520
1087	2302	1032	4500	514	5090	1041	1045	1057	1064	162	1028	4070	5351	1101
996	7779	523	520	997	5010	5051	520	2020	21025	1154	1025	1054	162	1719
1069	523	1062	9	1719	2000	626	523	80	1029	1604	5090	27036	129	1284
1064	139	514	1055	5093	5632	523	136	1604	1025	177	514	1027	5094	1029
139	7780	16403	1051	1029	17	1025	1030	47808	515	626	10000	27018	3671	1032
5062	53413	27017	27015	518	158	999	120	1025	80	9600	520	1083	4800	6144
1067	13647	1068	1060	1022	177	1026	88	1031	53413	11560	1604	515	69	1045
17185	7778	1604	67	1028	41794	21025	68	8080	1701	5351	162	1088	65476	28015
1285	65090	1035	1285	1027	5351	1031	2095	138	1032	53413	5070	21025	49	1701
1541	15091	648	32414	1023	997	49	2082	28015	11211	3671	28015	135	6539	1067
35060	25091	27020	21025	67	7779	177	2086	1046	129	1046	1157	1604	996	1051
45060	27019	1028	1069	5632	1070	1047	1034	1054	139	21026	5351	158	6595	1026
65060	5351	5632	16403	5070	520	518	1051	427	523	13647	139	1068	8417	1034
55060	520	7777	5351	1068	593	4800	7780	9090	135	1285	1088	1062	1659	1022
25060	1067	1025	1034	4500	136	162	1284	5351	996	1055	1047	1067	999	5351
15060	2152	998	515	5351	17185	138	9	1064	997	523	5560	7779	1154	523
445	27016	6060	3671	6090	7780	514	32771	523	7780	27020	1041	1047	3680	1083
500	25090	136	5632	1087	5064	1604	1541	3030	1059	17	1032	1057	1087	1088
10001	15090	7783	1087	17185	5063	27015	6582	999	1054	56655	135	1059	593	5062
523	45090	7779	37810	7778	5065	53413	1029	1028	1157	1053	53413	7777	1285	5093
15061	35090	32771	1064	523	5067	6581	1060	1059	88	1284	3671	1023	523	5063
49	1285	999	1604	44818	5068	7787	158	1285	520	518	523	1053	15060	5064
631	55090	1046	1045	626	5069	443	5052	5050	999	27015	1040	445	25060	5061
80	626	49	999	427	5071	2302	27016	4040	5632	11670	49153	1041	1023	27020
47808	1604	1029	523	1062	5062	37810	593	1087	138	512	7779	998	35060	8888
3671	1070	1057	1025	53413	139	512	47808	65476	33434	515	5094	648	45060	7779
515	135	997	3560	1059	5079	7778	445	7070	7779	88	1031	1070	32414	1070
5061	16403	7780	135	1284	5078	1032	1604	177	67	1035	1067	7780	53413	177
13647	7777	1041	1067	1604	5077	1054	1055	129	7001	7779	1070	1022	3952	7780
1025	17185	158	7778	27016	5075	1046	21026	53413	1041	1051	5099	136	1069	1030
50060	1087	9600	1059	16403	5076	1087	53413	5061	45061	648	6061	5057	4208	67
2123	1069	445	5012	49153	5074	2362	5062	162	35061	445	518	1026	37810	7778
15062	5094	1053	1030	88	5072	10000	1157	1053	15061	631	7777	1030	138	7777
35062	7782	2123	9040	7	5073	129	7778	514	25061	1719	1035	177	5665	9060
25062	67	28015	4546	4450	523	7779	515	1041	7778	7783	1541	7785	7778	443
65061	1719	6950	2362	30718	4500	5072	996	6534	49	5084	80	7778	136	32769
999	1088	1083	1541	6512	53413	5560	7777	1010	55061	9	129	1060	518	27017
6525	1028	1026	9600	3671	27017	5082	1027	1069	1028	1030	12111	120	1031	1059
6579	3671	1023	445	41794	16403	5092	1026	518	1051	5632	27021	997	512	5161
27015	1041	1541	5093	1032	28015	1064	1083	68	1070	997	5097	139	445	5160
6000	1060	1027	158	21026	88	5860	631	512	1026	5091	5098	1101	1027	1054
68	5064	32768	1719	129	30718	5960	32768	1027	5064	1045	5096	1032	120	1047
1028	5063	177	7784	6501	7778	5760	1032	7779	5063	67	138	5056	5070	9600
53413	5073	996	27021	2222	6850	5460	135	1035	5066	1057	512	1045	158	1060
1604	1055	1022	6584	1031	4070	7780	1070	1083	1055	17185	5095	37810	68	1064
1057	1040	518	1088	1025	9015	5660	3671	7778	5068	5055	2302	1157	65060	7787
512	5083	138	136	1285	7777	50608	1022	49	5069	158	7780	799	55060	9
37	443	120	7779	1035	4961	5160	7788	1023	5061	998	1046	27017	998	6481
27018	21026	1047	1157	1701	120	50609	1285	7781	5067	1101	68	67	17	1041
162	1027	1054	7780	1057	3671	50607	1088	136	5062	1034	50360	2362	7779	41794
45061	1029	129	5070	6080	27019	50606	997	1047	5065	7780	7778	1051	7780	1025
35061	1284	1284	13647	10000	5093	50604	27021	5062	5070	49590	13	1034	7777	1027
55061	6540	1101	68	32769	1067	5260	139	1068	1069	49152	17	1029	1064	1028
5070	1034	49153	65476	1047	9950	50605	7779	7780	1541	7777	7784	88	5058	5840
8087	9510	631	631	1046	1055	5360	1101	998	13647	68	1054	1284	1028	514
129	1045	13	7777	32768	3719	1059	1067	1284	1022	1027	32768	1719	1035	6583
1031	1059	12111	996	32771	5260	5061	6543	3671	27019	5076	996	9	5063	6562
15063	1101	512	120	1812	135	5080	33434	7777	1067	7778	1059	1055	5160	6509
65062	5190	7778	1290	1030	515	998	4800	5093	1045	49153	593	3671	5062	6587
55062	1023	68	593	120	7580	1023	24985	120	5054	1022	32771	631	5061	6541
45062	1047	515	8060	49194	68	1029	37	1101	1060	1060	44818	514	5064	6557
21025	1032	37	2152	65024	1060	7001	30667	35060	7782	5067	1087	50360	5161	2362
7777	9917	37810	49	1645	445	6060	16403	55060	631	65476	1064	6551	631	4070
120	4790	1031	17185	515	1541	1057	51413	45060	445	49150	999	5560	1053	6501
