Days Identical_ness_day0 Identical_ness_pre Set_similarity_day0 Set_similarity_pre Absolute_rank_diff_day0 Absolute_rank_diff_pre Relative_rank_diff_day0 Relative_rank_diff_pre
2019-12-01 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
2019-12-02 0.05 0.05 0.50 0.50 6.98 6.98 0.23 0.23
2019-12-03 0.06 0.04 0.57 0.52 9.33 7.05 0.27 0.22
2019-12-04 0.07 0.07 0.63 0.59 10.56 8.37 0.31 0.27
2019-12-05 0.05 0.04 0.51 0.54 7.19 6.48 0.24 0.22
2019-12-06 0.04 0.03 0.51 0.49 9.31 5.12 0.31 0.18
2019-12-07 0.03 0.06 0.52 0.46 8.87 7.04 0.28 0.33
2019-12-08 0.05 0.05 0.53 0.44 8.60 5.23 0.26 0.17
2019-12-09 0.05 0.05 0.61 0.52 11.14 6.91 0.32 0.22
2019-12-10 0.06 0.08 0.66 0.56 12.72 6.90 0.38 0.20
2019-12-11 0.09 0.06 0.50 0.61 7.19 10.45 0.22 0.28
2019-12-12 0.02 0.04 0.58 0.49 11.08 4.47 0.35 0.14
2019-12-13 0.03 0.07 0.50 0.59 9.68 8.92 0.29 0.22
2019-12-14 0.05 0.06 0.67 0.53 12.10 7.32 0.34 0.22
2019-12-15 0.03 0.04 0.45 0.53 7.33 8.32 0.25 0.33
