Days 2019-12-01 2019-12-02 2019-12-03 2019-12-04 2019-12-05 2019-12-06 2019-12-07 2019-12-08 2019-12-09 2019-12-10 2019-12-11 2019-12-12 2019-12-13 2019-12-14 2019-12-15
53 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
5060 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
123 3 3 3 3 3 3 3 3 3 3 3 4 4 3 4
1900 4 4 5 5 4 5 5 4 8 5 4 3 3 4 3
3283 5 9 4 4 8 15 12 10 4 4 10 9 12 19 9
3702 8 7 10 9 7 4 17 5 6 6 5 5 5 8 7
389 18 6 8 6 6 9 4 6 5 9 6 10 6 5 5
161 7 5 6 7 5 6 6 7 7 7 7 8 10 10 10
11211 6 14 29 19 27 11 22 14 18 46 12 25 11 7 8
137 26 8 16 12 13 14 7 9 16 16 11 6 9 9 17
443 32 84 33 22 9 7 59 25 12 18 27 16 7 6 71
5683 29 16 13 31 12 17 14 15 10 14 8 7 8 16 6
520 11 50 7 38 19 49 29 38 29 58 34 42 25 29 36
24999 9 10 9 8 11 8 8 8 11 10 9 11 13 13 14
6881 14 13 26 17 29 16 26 29 35 8 23 31 30 22 29
24997 12 12 11 10 14 12 9 11 13 12 13 13 16 14 15
19 20 18 14 21 10 21 30 12 9 19 17 14 14 15 11
111 10 21 30 33 21 26 21 32 26 30 29 15 18 31 12
5070 90 0 0 87 49 10 0 28 17 88 21 45 0 79 0
17 25 24 18 28 24 41 10 23 25 15 54 89 20 85 23
623 16 11 28 25 16 30 11 21 24 27 16 21 26 27 19
53413 80 42 21 11 62 73 56 67 66 43 45 56 19 64 27
177 21 22 79 13 18 43 47 20 64 11 40 29 70 12 64
1434 31 19 22 24 25 18 13 24 27 22 20 23 21 11 13
10001 55 27 12 32 30 20 18 22 23 20 19 17 23 24 26
6279 15 17 15 15 17 19 16 16 14 13 15 12 17 17 20
1194 13 25 20 18 23 24 15 19 15 17 18 20 24 18 16
5080 0 0 0 0 0 13 94 0 0 0 0 0 0 0 0
5353 17 15 23 16 15 28 20 13 20 23 14 26 15 21 18
500 54 29 27 14 22 31 23 33 19 29 25 34 34 36 22
69 27 23 17 27 26 33 24 17 21 21 22 19 27 43 21
25000 24 28 24 20 28 27 19 18 22 24 24 32 28 25 24
47808 61 20 32 23 20 25 34 62 41 25 32 18 22 35 32
4500 19 0 0 37 51 72 0 0 0 0 0 0 0 0 0
5093 0 30 19 76 40 88 27 31 95 0 26 22 29 30 56
1701 0 0 0 0 85 0 0 0 0 44 0 27 0 20 45
