2019-12-09	2019-12-10	2019-12-11	2019-12-12	2019-12-13	2019-12-14	2019-12-15
 SHAW 	 SHAW 	 TELUS 	 SHAW 	 SHAW 	 SHAW 	 SHAW 
 TELUS 	 TELUS 	 SHAW 	 TELUS 	 UCB 	 UCB 	 TELUS 
 LIQUIDWEB 	 UCB 	 UCB 	 UCB 	 TELUS 	 TELUS 	 UCB 
 Hetzner Online GmbH 	 USASK 	 COGENT-174 	 AHS 	 LIQUIDWEB 	 GOOGLE 	 LIQUIDWEB 
 MICROSOFT 	 Chinanet 	 LIQUIDWEB 	 AMAZON 	 GOOGLE 	 OVH SAS 	 PERFORMIVE 
 UCB 	 MICROSOFT 	 MICROSOFT 	 MICROSOFT 	 MICROSOFT 	 MICROSOFT 	 MICROSOFT 
 Chinanet 	 PERFORMIVE 	 Africa-on-Cloud-AS 	 GOOGLE 	 OVH SAS 	 Globe Telecoms 	 NVIDIA 
 GOOGLE 	 CHINA UNICOM China169 Backbone 	 OVH SAS 	 Chinanet 	 COMCAST-7922 	 BACOM 	 GOOGLE 
 CHINA UNICOM China169 Backbone 	 GOOGLE 	 ROGERS 	 OVH SAS 	 AMAZON 	 CHINA UNICOM China169 Backbone 	 OVH SAS 
 AMAZON 	 OVH SAS 	 COMCAST-7922 	 Jisc Services Limited 	 BACOM 	 ROGERS 	 COMCAST-7922 
 BACOM 	 AMAZON 	 GOOGLE 	 COMCAST-7922 	 ROGERS 	 Taiwan Academic Network (TANet) Information Center 	 Chinanet 
 COMCAST-7922 	 APPLE 	 BACOM 	 ROGERS 	 Chinanet 	 Suniway Group of Companies Inc. 	 ROGERS 
 ROGERS 	 OKSTATE 	 AMAZON 	 BACOM 	 HURRICANE 	 COMCAST-7922 	 SFU-AS 
 OVH SAS 	 COMCAST-7922 	 AHS 	 SunValley New Oriental 	 Jisc Services Limited 	 AMAZON 	 CHINA UNICOM China169 Backbone 
