time	OOO_SibirInvest	MAJESTIC_HOSTING_01	SIA_IT_Services	_45_136_111_0	RETHEMHOSTING	RM_Engineering_LLC	IP_Volume_inc	PE_Ivanov_Vitaliy_Sergeevich	OOO_Network_of_data_centers_Selectel	JSC_The_First	Romanenko_Stanislav_Sergeevich	KINX	VNPT_Corp	_45_136_108_0	Dm_Auto_Eood	RN_Data_SIA	ABC_Consultancy	CT_HangZhou_IDC	TimeWeb_Ltd_	_185_175_93_0	Veles_LLC	Zomro_B_V_	OVH_SAS
2019-11-30 01:00:00	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000
2019-12-01 01:00:00	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000
2019-12-02 01:00:00	27849823	25698508	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000
2019-12-03 01:00:00	72976633	71159957	2832857	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000
2019-12-04 01:00:00	-100000000	-100000000	-100000000	36490490	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000
2019-12-05 01:00:00	-100000000	-100000000	-100000000	-100000000	8475114	6734647	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000
2019-12-06 01:00:00	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000
2019-12-07 01:00:00	-100000000	30203096	-100000000	-100000000	-100000000	-100000000	13465308	5348866	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000
2019-12-08 01:00:00	-100000000	-100000000	-100000000	-100000000	-100000000	24943150	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000
2019-12-09 01:00:00	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000	-100000000
